収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト,投入最大数
2020GS01-017,,ワープ！,ワープ！,,イベント,マジカルユニバース,テクノロジー,,,,1,,,,CNT,,使用タイミング：即時（セットして、いつでも使える。） ■味方ユニット１体を選び、空いているゾーンへ移動させる。（自分のユニットが攻撃された瞬間に使えば、その攻撃は無効になる。ただし、守備ゾーンのユニットが居なくなれば、その攻撃は直接攻撃になる。）,これをプレイする。,ごく普通のジャパンコミックファンであるアドリアーノ・アドリックは、ごく自然にゲートルーラー能力に目覚め、当然のようにカードに吸い込まれて、当たり前のように異世界の宇宙で迷子になった。よくあることである。,4
2020GS02-001,,四大魔竜 荒塵王ポルヴィス・モウス・レクス,よんだいまりゅう こうじんおうポルヴィス・モウス・レクス,,ユニット,ウォルナー,ドラゴンロード,闇,,,3,7,7,2,CNT,,【アビスシンフォニア】条件：君の墓地から闇のカードを５枚デッキの下に置く。 ■これが【深淵召喚】された時、場のカード１枚を選び、破壊する。ライフを1回復する。 ■これは守備ゾーンに置けない。,君のライフが残り２以下なら、ターンを終了させる。,我が魔力の前に、全ては無価値な塵芥と化す。鉄も命も、運命さえもだ。,4
2020GS02-002,,魔竜の司祭,まりゅうのしさい,,ユニット,ウォルナー,魔術師,闇,,,2,4,2,2,,,【深淵召喚】通常：これを墓地に置く。そうしたら君の墓地から【アビスシンフォニア】を持つユニットを１体、その条件を満たすことで特殊召喚してもよい。,,神など頼るな。奴はお前に興味はない。魔竜を信じよ。彼はお前の心臓を掴んでいるのだから。,4
2020GS02-003,,デスサリエ,デスサリエ,,ユニット,ウォルナー,ドラゴン,闇,,,2,5,5,2,,,【アビスシンフォニア】条件：君の墓地から闇のカードを２枚デッキの下に置く。（【アビスシンフォニア】を持つユニットは、通常召喚することもできる。） ■これは【深淵召喚】されたターン、【警戒】を得る。（【警戒を持つユニットは】君のアタックフェイズ終了時に、守備ゾーンに移動させてもよい。）,,魔竜に従う竜たちは、皆一様にその座を狙っている。,4
2020GS02-004,,魔竜の信徒,まりゅうのしんと,,ユニット,ウォルナー,トレイター,闇,,,0,2,1,1,,,■「闇への挺身」 これが攻撃する時、君のデッキの上から１枚を墓地に置いてもよい。,,魔竜の強大な力は人々の運命をも狂わせ、自らの配下となる使徒を生み出す。,4
2020GS02-005,,ブラックナイト ガイスト,ブラックナイト ガイスト,,ユニット,ウォルナー,戦士,トレイター,闇,,0,4,1,1,,,■これが場かデッキから墓地に置かれた時、君のデッキの上から１枚を墓地に置いてもよい。,,ブラックナイト。人としての魂を捨て、呪われし不死の肉体を得た、修羅の者たち。,4
2020GS02-006,,ブラックナイト リーハ,ブラックナイト リーハ,,ユニット,ウォルナー,戦士,トレイター,闇,,0,3,3,1,,,,,四大魔竜が一柱、荒塵王ポルヴィス・モウス・レクス。彼は88体の邪悪なドラゴンと、リンクさせた黒騎士たちを従えていた。,4
2020GS02-007,,闇の軍列,やみのぐんれつ,,イベント,ウォルナー,魔法,,,,2,,,,CNT,,使用タイミング：通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■君のデッキの上から１枚を墓地に置き、君のダメージゾーンから【深淵召喚】を持つユニットを１枚選び、手札に加える。,君の墓地から【深淵召喚】を持つユニット１枚を選び、手札に加える。,歴戦の勇者であればこそ、 その技の失われる事を惜しみ、 永遠の戦いを求めて 魔竜の軍門に下るという。,4
2020GS02-008,,アブソリュート・ベアリア,アブソリュート・ベアリア,,イベント,ウォルナー,魔法,,,,0,,,,CNT,,使用タイミング：セットして、君が攻撃されている時に使える。（君とはルーラーのこと。） ■その戦闘ダメージを０にする。,これを墓地に置く。,これは氷壁ではない。 全ての運動エネルギーを０にする、 絶対停止の境界なのだ。,4
2020GS02-009,,闇のジン,やみのジン,,ユニット,ATLAS,OWL,怪異,闇,,2,3,2,1,CNT,,,これを特殊召喚する。,まだまだ、ドローンなどよりは役に立ってみせますぞ!,4
2020GS02-010,,ノスフェラトゥ・アーミー,ノスフェラトゥ・アーミー,,ユニット,ATLAS,OWL,ミリタリー,闇,,1,2,2,1,,,【不死身】（エナジーコストを支払えるルーラーは、コストと召喚権を支払い、これを墓地から通常召喚することが出来る。） ■これは守備ゾーンに置けない。,,西洋軍事同盟“ATLAS”に参戦した古き者たち。彼らは自らを“Old World League”OWLと呼んだ。,4
2020GS02-011,,魅入られし異才 ヨハン,みいられしいさい ヨハン,,ユニット,ATLAS,魔術師,,,,1,2,2,1,,,【深淵召喚】通常：これを墓地に置く。そうしたら君の墓地から【アビスシンフォニア】を持つユニットを１体、その条件を満たすことで特殊召喚してもよい。,,魔術師たちは生き延びていた。ロンドンに。プラハに。サマルカンドに。そして新世代の魔術師たちが、新たな魔術を紡ぎ始める。,4
2020GS02-012,,ミダス・Ｇ・ゴールドバーグ,ミダス・ジー・ゴールドバーグ,,ユニット,ATLAS,キーマン,闇,,,1,3,4,1,,,■「死の商人」 君が【深淵召喚】に成功した時、ライフを １回復する。,,親愛なるGuns＆Gold社の諸君！ 我々は地球の裏切り者などではない。偉大なる自由経済の祭司なのだ！ さあ回せ！ 経済を！,4
2020GS02-013,,ジャック・ザ・リッパー,ジャック・ザ・リッパー,,ユニット,ATLAS,OWL,闇,,,0,3,1,1,,,⬛「フロム・ヘル」 これが敵ユニットを破壊した時、君のデッキの上から２枚を墓地に置いてもよい。,,デスティニーディより数年。世界の常識は覆り、彼らは復活した。神話も、伝説も、そして悪夢もだ。,4
2020GS02-014,,デックアールヴ,デックアールヴ,,ユニット,ATLAS,OWL,怪異,闇,,0,1,4,1,,,■「ダークコア」 これを【アビスシンフォニア】の素材にする時、これ１枚を２枚として数えたり、レベルを０から３のいずれかとして扱ってよい。,,物理学は「怪異」を物理的に解明しようとした。結論は「生きたコペンハーゲン解釈」、つまり事実上の敗北である。,4
2020GS02-015,,アイアンストーム,アイアンストーム,,イベント,ATLAS,火力,ミリタリー,,,1,,,,CNT,,使用タイミング：即時（セットして、いつでも使える。） ■敵ユニット１体以上を選び、２ダメージを割り振る。,これをプレイする。,Guns＆Gold社はATLAS軍に兵器を納入する、軍需産業企業のひとつである。CEOであるミダスはゲートルーラー能力者であり、自らを被験体として、数々の次元干渉技術を生み出してきた。,4
2020GS02-016,,ウィン・ウィン,ウィン・ウィン,,イベント,ATLAS,ビジネス,,,,0,,,,,レジェンド,使用タイミング：通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■１枚引き、君と相手は、それぞれ自分のエナジー２枚までを選び、アクトする。,,安心したまえ。地球のイデオロギーなどはポーズに過ぎん。経済活動は全てに優先する。Mr.ポルヴィスの優秀なる使徒よ、我らは良きビジネスパートナーになるだろう。,1
2020GS02-017,,メイク・ア・キリング,メイク・ア・キリング,,イベント,ATLAS,ビジネス,,,,0,,,,,,使用タイミング：セットして、相手にダメージを与えた時に使える。 ■手札から闇のカードを１枚捨てる。そうしたら２枚引く。,,異世界！　この新たな市場に我々は、憎悪をふりまき戦火を育み、我が社の兵器を売り込もうではないか！　それが地球を、経済を潤すのだ！,4
2021GS03-001,,五大竜王 剣聖皇ゴールデンソードドラゴン・フィンダート,ごだいりゅうおう けんせいおうゴールデンソードドラゴン・フィンダート,,ユニット,ウォルナー,ドラゴン,ドラゴンロード,光,,3,7,5,1,,レジェンド,【強化】レベル２以上のドラゴン（これを場に出す際、君のレベル２以上のドラゴンのユニット1体を選び、これのソウルに入れてもよい。）                                                                                                                                                                                                                                                                   【2回攻撃】【ソウルガード】,,友よ、今は遥かな、時の旅人となりし緑の竜よ。我も倣おう。地球人と友誼を結び、バディとなりて。,1
2021GS03-002,,爆鳴竜王 デトネイザー,ばくめいりゅうおう デトネイザー,,ユニット,ウォルナー,ドラゴンロード,炎,水,,3,7,7,2,,,【強化】レベル２以上のドラゴン（これを場に出す際、君のレベル２以上のドラゴンのユニット1体を選び、これのソウルに入れてもよい。）     ■「爆鳴破」 即時［これのソウルを墓地に置く］これを攻撃しているユニットを破壊する。,,征くぞ小さき友よ。お前の可能性は無敵だ！ 命名・設定 武田宗一郎,4
2021GS03-003,,轟翼のベルガスター,ごうよくのベルガスター,,ユニット,ウォルナー,風,ドラゴン,ドラゴンロード,,3,4,7,2,,,■君がドラゴンを通常召喚する際、そのコストで支払うエナジーは１少なくなる。,,ドラゴンロードとは「龍悟」に至り、超生命体へと進化したドラゴンである。,4
2021GS03-004,,鏡鱗のヴァリエレ,きょうりんのヴァリエレ,,ユニット,ウォルナー,ドラゴン,,,,2,4,4,2,,,■これが受ける効果ダメージは０になる。,,魔法の存在する世界では、魔法に対処出来る生物も生まれる。,4
2021GS03-005,,白霧のミュステリオン,はくぶのミュステリオン,,ユニット,ウォルナー,ドラゴン,闇,,,2,6,1,2,,,■「ヴァラゴーラ」 これが特殊召喚された時、レベル１以下の敵ユニット１体を選び、破壊する。そうしたらライフを１回復する。,,アンデッドドラゴンはドラゴンロードではない。恐るべき超自然の存在ではあるが。,4
2021GS03-006,,氷壊のガリス,ひょうかいのガリス,,ユニット,ウォルナー,ドラゴン,ビースト,水,,2,4,4,2,CNT,,■「凍結地獄」 これが場に出た時、相手の、セットカードかフィールドカード１枚を選び、破壊する。,これを墓地に置く。,ゲートルーラーよ、お前の矜持を見せよ。誰かのありふれた言葉ではなく、お前の言葉でなければ我らは動かんぞ。,4
2021GS03-007,,暴炎のヴェルクライト,ぼうえんのヴェルクライト,,ユニット,ウォルナー,ドラゴン,炎,,,2,3,3,2,,,■「火竜旋風」 これが特殊召喚された時、敵ユニット１体以上を選び、３ダメージを割り振る。,,人間ごときが我ら竜を指揮するなど笑止！ せいぜい踏み潰されぬよう気をつけることだな！ で、どこを焼けばいい？,4
2021GS03-008,,黄金剣,おうごんけん,,イベント,ウォルナー,戦技,,,,3,,,,CNT,,使用タイミング:セットして、場に君のレベル３以上のドラゴンがある時、いつでも使える。 ■レベル３以下の敵ユニット１体を選ぶ。そのユニットは能力を全て失い、破壊される。 ■このイベントカードがゲートにある間、各プレイヤーはカードのプレイや能力の使用が出来ない。,これをプレイする。,剣聖皇は全身が黄金の剣へとモーフィングする。いや、彼は無敵の聖剣そのものなのだ。,4
2021GS03-009,,竜撃,りゅうげき,,イベント,ウォルナー,戦技,,,,2,,,,CNT,,使用タイミング:即時（セットして、いつでも使える。） ■レベル２以下の敵ユニット１体を選び、場に君のレベル２以上のドラゴンがあるなら、それを破壊する。,これをプレイする。,ドラゴンの攻撃に、手加減という概念はない。,4
2021GS03-010,,イドのドラゴン,イドのドラゴン,,ユニット,マジカルユニバース,ドラゴン,ビースト,,,2,4,3,1,CNT,,■「ドラゴマグラ」 これが相手に与えたダメージでは【CNT】出来ない。,君の墓地にある、レジェンドではない、ドラゴンかビーストのユニット１枚を選び、手札に加える。そうしたら君は１ダメージ受ける。,竜を屠りしもの、心に竜を宿す。 ,4
2021GS03-011,,テンノキリン,テンノキリン,,ユニット,マジカルユニバース,ドラゴン,ビースト,ピポバース,,2,3,1,2,CNT TD,,【TD】「ドラゴバース」 君のデッキの上から３枚見て、ドラゴンのカード１枚を選んで公開し手札に加えてもよい。その後、それ以外のカードをデッキの下に置く。,君のエナジー１枚を選び、アクトする。,やあゲートルーラー。ドラゴンデッキはカッコいいけど、使いこなすのは大変だ。よかったら僕が手助けするよ。,4
2021GS03-012,,カンヘル,カンヘル,,ユニット,マジカルユニバース,銀河遺産,,,,0,2,4,0,,,■君がドラゴンを通常召喚する際、そのコストで支払うエナジーは１少なくなる。,,マジカルユニバースの神話には、竜の姿をした天使が四方に飛翔し、世界の広がりを定めたという美しい物語がある。 ……上下は？,4
2021GS03-013,,スペースラプター,スペースラプター,,ユニット,マジカルユニバース,ビースト,ピポバース,,,0,3,2,1,,,■「クーパーツン・ドラハン」 通常［これをゲームから除外する］君の手札からレベル２以下のドラゴン１体を特殊召喚する。,,ドラゴンはマジカルユニバースでも大人気だ。中にはドラゴンを神と崇め、努力すればドラゴンに転生できると信じる種族もいる。,4
2021GS03-014,,スペース・ケイブ,スペース・ケイブ,,イベント,マジカルユニバース,名所,,,,0,,,,CNT,,使用タイミング:セットして、君にダメージが与えられる時に使える。 ■次のダメージを２軽減する。,相手ルーラーか敵ユニット１体を選び、レストする。,次元の破れ目であるスペース・ケイブは、鉄壁の要塞として、または便利なゴミ捨て場として古くから活用されていた。 ウォルナーと繋がっている事が分かるまでは。,4
2021GS03-015,,バタフライ・エフェクト,バタフライ・エフェクト,,イベント,マジカルユニバース,パラノーマル,,,,0,,,,,,使用タイミング:通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■君のドラゴン１体を選び、デッキの下に置く。そうしたらデッキからそれと同じレベルのレジェンドではないドラゴン１枚を選んで特殊召喚する。,,事象は異世界にも変化をもたらす。量子エンタングル……それは縁とも言えるかも知れない。,4
2021GS03-016,,宇宙カルタゴ,うちゅうカルタゴ,,イベント,マジカルユニバース,名所,,,,0,,,,,,使用タイミング:即時（セットして、いつでも使える。） ■君のレベル３以上のユニット１体を選び、墓地に置く。そうしたらライフを１回復する。,,スペースケイブのそばにあった惑星は、ウォルナーとの交易地として発展した。最初の役割は知らずにウォルナーに送りつけていたゴミの処理だったが、むしろそれが資材として利用出来たのだ。,4
2021GS03-017,,氷炎鉱石,ひょうえんこうせき,,イベント,マジカルユニバース,オブジェ,ジェム,,,0,,,,,,使用タイミング:セットして、場に君の炎か水があり、君のユニットが相手のイベントか能力に選ばれた時に使える。 ■そのイベントか能力を打ち消す。,,スペースケイブからは、ウォルナーとマジカルユニバースの双方の因子が重なった特殊な鉱石が産出される。,4
2021GS04-001,,G&G戦闘ヘリ ルフトティガー,ジーアンドジーせんとうヘリ ルフトティガー,,ユニット,ATLAS,ミリタリー,,,,2,4,4,2,CNT,,,敵ユニット１体を選び、３ダメージを与える。,ゾンビカリプスの火元はニューテック本社ビルだ。各員、本社ビルを調査しろ！,4
2021GS04-002,,ゾンビライダー,ゾンビライダー,,ユニット,ATLAS,ゾンビ,ヒーロー,ミリタリー,,2,3,3,2,,,【貫通】 ■これは、場の他のユニットの、ゾンビの数とミリタリーの数だけ、ATK＋１、HP＋１される。 （ゾンビとミリタリーの両方を含むユニットは２として数える。）,,血が緑色になったと思ったらよォ、全部わかったんだ。もう正義や悪には煩わされねぇ！クリアーなんだよ世界がァアアア！ ,4
2021GS04-003,,ゾンビカイザー,ゾンビカイザー,,ユニット,ATLAS,ゾンビ,,,,2,7,2,2,,,【強化】ゾンビ（これを場に出す際、君のゾンビのユニット1体を選び、これのソウルに入れてもよい。）  ■「カイザーナックル【ターン１】」 通常［君のカードのソウルを１枚墓地に置く］これをターン終了時まで、STK＋１する。 ■これは守備ゾーンに置けない。 【ソウルガード】,,ボスキャラだ。ナイフクリアにでも挑戦してみるか？,4
2021GS04-004,,次元断層迎撃隊 隊長 クレイグ,じげんだんそうげいげきたい たいちょう クレイグ,,ユニット,ATLAS,ミリタリー,,,,2,4,2,2,TD,,【TD】「冴えた作戦」 場に君の他のミリタリーがあれば、１枚引き、手札を１枚デッキの上に置く。,,知っての通り、トーキョーと同様、ニューヨークにも次元断層が発生し始めた。俺たちが対処するしか無いってわけだ。ここにはヨーカイの友人はいないからな。探せば蜘蛛男ぐらいはいるかも知れんが。,4
2021GS04-005,,ゾンビエフ,ゾンビエフ,,ユニット,ATLAS,怪異,ゾンビ,,,1,4,4,2,,,,,ニューテックの奴ら、コスプレイベントでもやってたのか？,4
2021GS04-006,,ゾンビソルジャー,ゾンビソルジャー,,ユニット,ATLAS,怪異,ゾンビ,ミリタリー,,1,5,2,2,,,,,ゾンビ化ウィルスが空気感染しなかったのは幸いな事だったが、ゾンビ密にされた兵士たちにとっては大した救いにならなかった。,4
2021GS04-007,,若き治安維持兵,わかきちあんいじへい,,ユニット,ATLAS,ミリタリー,,,,1,1,1,1,TD,,【TD】君のデッキの上から１枚見て、それがミリタリーなら相手に公開し、手札に加えてもよい。そうでないなら、そのまま戻す。,,デートをすっぽかして仕事に来たんだ。なのに彼女の方から会いに来てくれたんだぜ！  ……顔色は悪かったけどな。,4
2021GS04-008,,重装兵,じゅうそうへい,,ユニット,ATLAS,ミリタリー,,,,1,3,5,2,,,,,「ステイホームに飽きたニューヨーカーが、キレて出歩いてるんじゃない。マジでゾンビカリプスが始まったんだ。いいなお前ら。FPSで慣らしたヘッドショットをキメまくってやれ。」隊長クレイグ ,4
2021GS04-009,,食べ過ぎゾンビ,たべすぎゾンビ,,ユニット,ATLAS,ゾンビ,,,,1,3,4,2,OD TD,,【TD】【OD】君の墓地にあるゾンビを１枚までこれのソウルに入れる。,,なあ、誰か教えてやれよ。,4
2021GS04-010,,ダイナマイトゾンビ,ダイナマイトゾンビ,,ユニット,ATLAS,ゾンビ,,,,0,2,1,1,CNT,,■「誘爆」 これが場から墓地に置かれた時、敵ユニット１体を選び、２ダメージを与える。,敵ユニット１体を選び、２ダメージを与える。,考えようによれば、職務に忠実。,4
2021GS04-011,,チアリーダーゾンビ,チアリーダーゾンビ,,ユニット,ATLAS,ゾンビ,,,,0,3,2,1,,,■君の他のゾンビをATK＋１ 、HP＋１する。,,「時間が経てば経つほど、人間離れした外見になっていくようだな。」 「お前んちのカミさんと同じか。」,4
2021GS04-012,,ミューティレッド・ゴブリン,ミューティレッド・ゴブリン,,ユニット,ATLAS,OWL,怪異,ゾンビ,,0,2,2,2,,,,,「あれは次元断層に突っ込んでいったOWLのゴブリン部隊じゃないか？」 変異したかつての友軍を指してクレイグは言った。 「どうやら向こうの方が、給料が良いらしいな。」,4
2021GS04-013,,研究者ゾンビ,けんきゅうしゃゾンビ,,ユニット,ATLAS,サイエンス,ゾンビ,,,0,2,3,1,,,■「バイオハザード」 場の全てのユニットにゾンビの属性を与える。,,「やっぱホワイトカラーのせいか！ そんなこったろうと思ったぜ！」 隊長クレイグ,4
2021GS04-014,,ゾンビカリプス,ゾンビカリプス,,イベント,ATLAS,アクシデンツ,テクノロジー,,,3,,,,CNT,,使用タイミング:通常 ■君の墓地から合計レベルが２以下になるように、ゾンビのユニットを２枚まで選び、攻撃ゾーンに特殊召喚する。,これをプレイする。,三年前、ニューヨーク郊外に発生した次元断層は、恐るべきゾンビ化ウィルスをもたらした。それは献身的な兵士たちとキャプテン・リバティーによって封じられたが、今回はよりによって、ニューテック施設内に次元断層が発生したのだ……！ ,4
2021GS04-015,,ニューテック研究所,ニューテックけんきゅうじょ,,イベント,ATLAS,ゾンビ,テクノロジー,,,2,,,,,,使用タイミング:通常 ■君の墓地から合計レベルが１以下になるように、ゾンビのユニットを２枚まで選び、特殊召喚する。,,次元断層から漏れ出たゾンビ化ウィルスの培養に成功したニューテックは、極秘にウィルスの軍事利用をもくろみ、案の定今回の騒ぎを引き起こした。,4
2021GS04-016,,戦功調査,せんこうちょうさ,,イベント,ATLAS,ミリタリー,,,,2,,,,CNT,,使用タイミング:通常 ■君のダメージゾーンにあるメダルのイベント１枚を選び、セットする。,これをプレイする。,「戦功調査を行えば行うほど、私はお前を誇らしく思う。お前の隠れた戦果が幾らでも見つかるからだ。 しかしお前のやらかした問題は調査の対象に入っておらん。それは私が全部記憶しておる。」,4
2021GS04-017,,ゾンバリア,ゾンバリア,,イベント,ATLAS,テクノロジー,,,,1,,,,CNT,,使用タイミング:即時 ■君の墓地からレベル０のゾンビ１枚を選び、守備ゾーンに特殊召喚する。,これをプレイする。,ニューテックのゾンビ軍事利用技術は素晴らしい物だった。それ故に制御を離れた時の被害は甚大だった。,4
2021GS04-018,,メダル・オブ・オナー,メダル・オブ・オナー,,イベント,ATLAS,ミリタリー,メダル ,,,1,,,,CNT,,使用タイミング:セットして、君のミリタリーのユニットが相手にダメージを与えた時に使える。 ■君のダメージゾーンにあるレベル１以下のミリタリーのユニット１枚を選び、特殊召喚する。そうしたらこれを君のダメージゾーンに置く。,これをセットする。,名誉勲章。戦闘においてその義務を超えた勇敢な行為をし、若しくは自己犠牲を示した軍人へと贈られる。,4
2021GS04-019,,シルバースター,シルバースター,,イベント,ATLAS,ミリタリー,メダル ,,,0,,,,CNT,,使用タイミング:セットして、自分のターン中、敵ユニットを２体以上破壊しているなら使える。 ■君のダメージゾーンからレベル２以下のミリタリーのカード１枚を選び、手札に加える。そうしたらこれを君のダメージゾーンに置く。,これをセットする。,銀星章。敵対する武装勢力との交戦において勇敢さを示した兵士へと贈られる。,4
2021GS04-020,,ゾンビキャノン,ゾンビキャノン,,イベント,ATLAS,ゾンビ,ミリタリー,,,0,,,,CNT,,使用タイミング:即時 ■以下のどちらかを行う。 ○君のゾンビ１体を墓地に置く。そうしたら相手に１ダメージを与える。 ○敵ユニット１体を選び、君のゾンビ１体を墓地に置く。そうしたらそれに、４ダメージを与える。,これをプレイする。,ハッキリしたな。ニューテックの奴らは、ゾンビになる前から脳が腐ってた。,4
2021GS04-021,,鎌鼬のジョー in ニューヨーク,かまいたちのジョー イン ニューヨーク,,ユニット,東妖,怪異,ミリタリー,,,2,5,2,1,OD,,【OD】「打ち颪（うちおろし）」 守備ゾーンの敵ユニット１体を選び、破壊する。,,弟たちを連れてこなくて良かったぜ。ホラーは苦手だからな。,4
2021GS04-022,,東妖軍NY支援部隊,とうようぐんニューヨークしえんぶたい,,ユニット,東妖,ミリタリー,,,,1,4,3,1,,,■君の他のミリタリーをATK＋１する。,,アッパー・ニューヨーク湾に上陸した東妖軍支援部隊は、武術に秀でた精鋭部隊を先行させ、橋頭堡を確立した。,4
