収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト,投入最大数
2020GB01-059,★,デスパレート,,,イベント,アトラス,ミリタリー,,,,0,,,,,,使用タイミング：即時（セットして、いつでも使える。） ■味方ユニット１体を選び、ターン終了時までATK＋２ 、HP＋２する。,,"日本の次元断層による侵攻と違い、欧州における侵略次元の攻撃は、「置き換え」と言われる現象によって行われる。
ある日突然、街の一角から人々が消失し、置き換わるように侵略次元の部隊が現れるのだ。
消失した人々の行方は、杳として知れない。",4
2020GB01-060,★,そんなダメージは気のせいだ！,,,イベント,アトラス,ミリタリー,ワイルドフォース,,,0,,,,,,使用タイミング：セットして、味方ユニットがダメージを与えられた時に使える。 ■味方ユニット１体を選ぶ。そのユニットは与えられたダメージと同じ分回復する。（致死ダメージに達して破壊されていても、墓地に置かれる前に回復する。）,,"♪オー、ワイルドフォース、悪を砕く鋼の腕。
野生の力だガトリング、自然の掟だ気化爆弾。
知恵が１割力が５割。残った７割勇気と力。",4
2020GB01-061,★,サプレッション・ファイア,,,イベント,アトラス,火力,ミリタリー,,,0,,,,,,使用タイミング：即時（セットして、いつでも使える。） ■敵ユニット１体を選び、２ダメージを与える。,,アドバイス！ ATLAS軍カードの魅力は、なんと言っても効果ダメージによるユニット破壊だ。“Gu★s＆Gold兵器工廠”を４枚入れてマジカルユニバースの火力カードと組み合わせ、コントロールデッキを作ってみよう！,4
2020GB01-062,★★★★Ⓛ,キャプテン・オーマイガー,,,ユニット,東妖軍,覚醒者,戦士,ヒーロー,,3,5,5,3,CNT OD,LEGEND,【OD】「マッハ88万３千353以上アタック」 敵ユニット１体を選び、破壊する。,これの【OD】能力を使う。,漫画家、桜舞河大将は自らの描く漫画の主人公へと変身した。しかし常軌を逸した設定と、致命的なデザインセンスにより前途は多難で……（長谷川裕一作品「スタジオ秘密基地劇場」より,4
2020GB01-063,★★★★Ⓛ,鬼The島隊長 鬼ノ宮 鋼牙,,,ユニット,東妖軍,鬼The島,キーマン,戦士,,3,4,3,2,CNT OD TD,LEGEND,【OD】【TD】「宿命の赫きゲートルーラー」 君のデッキからカード１枚を選び、デッキをシャッフルして選んだカードを上に置く。,これの【OD】能力を使う。,東妖軍きってのゲートルーラーであり、古の約定により鬼たちを従える「裏京都・鬼ノ宮（きのみや。「おにのつかさ」とも読む）」の当主。快刀乱麻を断つがごとき正義の快男児。,4
2020GB01-064,★★★★,カミガカリ,,,ユニット,東妖軍,神,,,,2,5,2,2,OD,,【OD】場の君のカード１枚を選び、破壊してもよい。そうしたら場の相手のカード１枚を選び、破壊する。 ■「障り」 これに戦闘ダメージが与えられた時、敵ユニット１体を選び、同じダメージを与える。（効果ダメージならこの効果は発動しない。）,,神や妖怪が現れた時、日本人は驚くよりも、懐かしさを覚えた。,4
2020GB01-065,★★★★,巨骸装甲 ガシャドクロ,,,ユニット,東妖軍,怪異,ミリタリー,,,3,7,2,2,OD,,【OD】君のデッキの上から２枚をこれのソウルに入れる。 【ソウルガード】（【ソウルガード】を持つユニットが場から離れる時、ソウルを１枚墓地に置くことで、場に留まることが出来る。） 【貫通】,,侵略者を打ち砕く、巨大な躯が咆哮する。其は、英霊たちの化身なり！,4
2020GB01-066,★★★★,竜型決戦兵器 “荒御鋒”,,,ユニット,東妖軍,ドラゴン,ミリタリー,,,3,5,5,2,,,■君が受けるダメージは１になる。 ■「魔力炉心砲」 通常［君のイベントカードを１枚、場から墓地に置く］敵ユニット１体を選び、４ダメージを与える。,,全国民の祈りを受けて、起動せよ！マシンドラゴン・アラミサキ!!,4
2020GB01-067,★★★★,千年桜,,,イベント,東妖軍,歴史,,,,2,,,,,,使用タイミング：通常 ■君のデッキの上から３枚見て、その中の１枚をドライブする。それ以外のカードをデッキの下に置く。,,"日本は学んだ。精神論に頼る愚かしさを。
同時に忘れまい。志なき者が兵（つわもの）とならぬ事もまた、事実であると。",4
2020GB01-068,★★★,サクラノセイ,,,ユニット,東妖軍,怪異,,,,1,5,1,1,OD,,【OD】相手のフィールドカード１枚を選び、破壊する。 ■「障り」 これに戦闘ダメージが与えられた時、敵ユニット１体を選び、同じダメージを与える。,,春の度に咲く。春の度に散る。,4
2020GB01-069,★★★,冬将軍 御影,,,ユニット,東妖軍,怪異,戦士,,,1,2,1,1,CNT OD,,【OD】「凍結破砕」 守備ゾーンの敵ユニット１体を選び、破壊する。,これの【OD】能力を使う。,"東妖軍と妖怪は雇用契約ではなく、昔ながらの義理と人情で繋がっている。それゆえに、北の怪異の元締めにして雪女である、彼女のような者が必要なのだ。
設定 一（はじめ） 命名 ネメシス",4
2020GB01-070,★★★,合体拡張兵装 益荒男 『金剛体』,,,ユニット,東妖軍,ミリタリー,ロボ,,,3,5,4,1,CNT,,【ソウルガード】【２回攻撃】 ■これは守備ゾーンに置けない。,君の墓地から“益荒男”を好きな枚数選び、デッキに戻してもよい。そうしたらシャッフルする。,魔力と科学の完全な同調。それが益荒男の力となる。,4
2020GB01-071,★★★,たたりじゃーー！！,,,イベント,東妖軍,アクシデンツ,,,,-5,,,,CNT,,使用タイミング：【オープンカード】（これが手札に入った時、またはドライブした時、必ず公開してプレイする。） ■君は２ダメージ受ける。,これをプレイする。,なんでデッキに入れちまったんだ!,4
2020GB01-072,★★,牛鬼 羅喉,,,ユニット,東妖軍,怪異,ビースト,,,2,4,5,3,,,,,"ふと夜空を見上げると、そこには異形が。
ああそうか、夜は彼らに還したのだった。",4
2020GB01-073,★★,牛鬼 天狼,,,ユニット,東妖軍,怪異,ビースト,,,2,3,3,1,OD,,【OD】「百鬼夜行Lv１」 君のデッキの上から１枚見て、それがレベル１以下の怪異のユニットならドライブしてよい。ドライブしないならデッキの下に置く。 ,,"妖怪たちは言った。「夜を還せ。お前たちが失わせた、心休まる闇を還すのだ。」
都知事は答えた。「では、深夜からの計画停電で対応しましょう。」",4
2020GB01-074,★★,陸戦拡張兵装 益荒男 弐號機,,,ユニット,東妖軍,ミリタリー,ロボ,,,2,3,3,1,CNT,,■「益荒合身」 通常：これと、君の“益荒男　壱號機”があれば、君のデッキから“益荒男 『金剛体』”を１体特殊召喚し、これと“益荒男 壱號機”を１枚ずつソウルに入れる。,デッキから“益荒男 壱號機”を１体、攻撃ゾーンに特殊召喚する。,魔力エンジンと超電導プラズマエンジンのマッチングに成功。次は妖力炉を含めた三機合体だ！,4
2020GB01-075,★★,特殊国民法（妖怪法）,,,イベント,東妖軍,歴史,,,,2,,,,CNT,,使用タイミング：通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■ライフを１回復する。,これをプレイする。,妖怪のいる風景。時折襲い来る侵略次元。そんな非日常すらも、いつしか新たな日常として受け入れていく。それこそが人々の強さなのかも知れない。,4
2020GB01-076,★★,ミスター死語,,,ユニット,東妖軍,戦士,ヒーロー,,,1,3,3,1,,,■「殴りたい笑顔」 これが攻撃ゾーンにある時、君への戦闘ダメージは０になる。,,ナウ（死語）なヤング（死語）にバカウケ（死語）！ ミスター死語だよ～ん。ナ～ンチャッテ（死語）!!,4
2020GB01-077,★★,生者必滅,,,イベント,東妖軍,戦技,,,,1,,,,CNT,,使用タイミング：即時（セットして、いつでも使える。） ■味方ユニット１体を選び、ターン終了時までATK＋２、HP＋２し【反撃】を与える。,これを墓地に置く。,無常なり。どのみち果てる身で。,4
