収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト,投入最大数
2021GB02-011,★★,ベルガバギベロス,ベルガバギベロス,,ユニット,ウォルナー,大地,ビースト,闇,,1,4,4,2,CNT OD,,【OD】「モーションセンサー」 【警戒】を持つ敵ユニット１体を選び、破壊する。,これの「モーションセンサー」能力を使う。,動くな。息もするな。それが最後の呼吸になるぞ。 ,4
2021GB02-012,★★,魔獣召喚師,まじゅうしょうかんし,,ユニット,ウォルナー,大地,魔術師,,,1,3,4,1,,,【創生召喚】通常：これと、味方のビーストのユニット１体以上を素材にしてデッキの下に置く。そうしたら素材にしたユニットの合計レベル以下のビーストか戦士を１体デッキから特殊召喚してもよい。,,創生召喚はイメージの具現化魔法であり、術の終了と共に素体は元の肉体を取り戻す。だがおおむね、具現化したイメージはオリジナルを超える力を得る。,4
2021GB02-013,★★,パワーレイ・マキシマム,パワーレイ・マキシマム,,イベント,ウォルナー,禁呪,,,,4,,,,CNT,,使用タイミング：セットして、相手のターン終了時に使える。 ■【エナジー能力】敵ユニット１体以上を選び、８ダメージを割り振る。その後、相手に２ダメージを与える。（【エナジー能力】は、君にエナジーがあるなら使える。）,相手ルーラーと敵ユニットを全てレストする。,アドバイス！ 君のルーラーがウィザードなら、 エナジーを全て残せば 相手のターンに ４エナジーを使えるぞ！,4
2021GB02-014,★★,魔王メリルの魔法演算プログラム,まおうメリルのまほうえんざんプログラム,,イベント,ウォルナー,テクノロジー,,,,2,,,,,,使用タイミング：即時 ■手札からカードを１枚相手に公開して、それをデッキの下に置く。そうしたら２枚引く。,,「要するに地球とウォルナーでは、物理法則のOSが違うんだよ。」 外見に似合わず、メリルの口ぶりは完全にオタクのそれだった。 「例の実験兵器とやらも動かせるようになる。条件付きだけどね。」,4
2021GB02-015,★★,ゲルデス・グラム（闇の一瞥にて力無き者死するべし）,ゲルデス・グラム,,イベント,ウォルナー,魔法,闇,,,1,,,,,,使用タイミング：通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■敵ユニット１体を選び、君の墓地にある闇の枚数と同数のダメージを与える。,,G&G社による「ポルヴィス・モウス・レクスのドレス」の開発は難航した。接触する物体の時間軸をずらし、何物をも朽ち果てさせるその力が壁となったのだ。突破口はCEOミダスの、次元障壁を生み出すゲート能力の応用だった。,4
2021GB02-016,★,暴獄竜王 ヴォルトナ,ぼうごくりゅうおう ヴォルトナ,,ユニット,ウォルナー,ドラゴン,ドラゴンロード,闇,,3,5,3,2,TD,,【TD】君のデッキから“ヴィオラ・フルヴトゥス”１枚とレベル０の闇のユニット１枚を選び、墓地に置いてもよい。 【深淵召喚】通常：これを墓地に置く。そうしたら君の墓地から【アビスシンフォニア】を持つユニットを１体、その条件を満たすことで特殊召喚してもよい。,,荒塵王の軍団はウォルナー派遣部隊から地球人の戦闘力について、十分な知識を得た。もはや彼らに用は無い。,4
2021GB02-017,★,グエンデ,グエンデ,,ユニット,ウォルナー,ドラゴン,炎,,,2,5,5,2,TD,,【TD】「灼熱化」 これを、ターン終了時までATK＋２、HP＋２する。,,山田「火竜って当然のように燃えてるが、死なないのか？」 シオリ「生物より精霊に近いのよ。肉体も純粋な物質じゃなくて魔力による合成物なの。」 山田「……食えば私にも、少しは魔力が宿るかな？」 山田はあきらめが悪かった。,4
2021GB02-018,★,アヌビスに似た人,アヌビスににたひと,,ユニット,ウォルナー,戦士,大地,魔術師,,1,4,2,1,,,■「冥府の審判」 これが破壊された時、君は相手の手札を見て、その中から１枚捨てさせる。,,いいや。私は地球の神とは何の関係も無いよ。 いや、サインとかしないから！,4
2021GB02-019,★,ブラックナイト・ザハール,ブラックナイト・ザハール,,ユニット,ウォルナー,戦士,トレイター,闇,,1,2,2,2,,,【貫通】 ■君の墓地にある“ブラックナイト”の枚数分、これはATK＋１される。,,朽ちた戦士たちの怨念が宿る。,4
2021GB02-020,★,ブラックナイト・ガステル,ブラックナイト・ガステル,,ユニット,ウォルナー,戦士,トレイター,闇,,0,3,1,1,,,■これを【アビスシンフォニア】の素材にする時、レベルを０から２のいずれかとして扱ってもよい。,,永遠に終わらぬ闘いこそ我が望み。憐れむなかれ。修羅界も住めば都よ。,4
2021GB02-021,★,ラグドール・ケットシー,ラグドール・ケットシー,,ユニット,ウォルナー,大地,ビースト,,,0,0,3,0,CNT,,【ファミリア】（通常：これに、ターン終了時まで任意の属性を１つ追加する。） ■通常：これのレベルを、ターン終了時まで１にする。,これを特殊召喚し、ターン終了時に墓地に置く。,「OWLが結成された日、一部の飼い猫が二本足で立ち上がって、『自分たちは実はケットシーだ』としゃべり始めてな……ネコ好きは複雑な気分だったと思うよ。」山田は複雑な表情を浮かべた。,4
2021GB02-022,★,獣人族の戦士,じゅうじんぞくのせんし,,ユニット,ウォルナー,戦士,大地,ビースト,,0,5,1,1,,,,,ウォルナーで文明を持つのはヒトだけではない。故に彼らは、地球人たちをもたやすく受け入れた。ただ、弱者か、共に戦うに足る者たちか、それだけは冷徹に見極めるだろう。 ,4
2021GB02-023,★,東妖軍サバイバル部隊,とうようぐんサバイバルぶたい,,ユニット,ウォルナー,戦士,ミリタリー,,,0,3,5,0,,,,,「魔竜の目的は、私たちを死ぬまでいたぶって、地球人の戦闘力を測る事ね……。」 脱出不能、交渉不能。隊長として山田は決断を下した。 「自らの身で知ってもらおうじゃないか。スーパー地球人の力を。」 ,4
2021GB02-024,★,バルゾ・ドルバ（生命よ流転せよ）,バルゾ・ドルバ,,イベント,ウォルナー,魔法,闇,,,2,,,,,,使用タイミング：通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■レベル１以下の敵ユニット１体を選び、破壊する。そうしたらライフを１回復する。,,「百億年の壁」による不可侵の肉体を持つ荒塵王は、それ故に限定された攻撃力しか持ち得なかった。地球の兵器が彼の覇権の礎となるやも知れぬ……ミダスと荒塵王の思惑は一致していた。,4
2021GB02-025,★,イスク・ハーン（戦神が如き一撃）,イスク・ハーン,,イベント,ウォルナー,戦技,,,,1,,,,CNT,,使用タイミング：即時 ■レベル１以下の敵ユニット１体を選び、場に君の戦士があるなら、それを破壊する。,これをプレイする。,有構無構……剣技において、勝ちに不思議の勝ちはあり、負けに不思議の負けは無し。,4
2021GB02-026,★,大地の宝玉,だいちのほうぎょく,,イベント,ウォルナー,魔法,,,,1,,,,CNT,,使用タイミング：通常（君のターンのメインフェイズに、手札からか、セットしてプレイする。あるいは、ドライブした時にプレイする。） ■君の墓地に大地のカードが３枚以上あり、場に君の大地のユニットがあるなら、ライフを１回復する。,これをプレイする。,メリル「南方から取り寄せた回復薬だ。言わばSENZUだね。」 シオリ「いちいち漫画に例えるの止めない？ 絡み辛いから。」 二人の会話を聞いて山田は納得した。「なるほど、同族嫌悪か……。」,4
2021GB02-027,★,敵陣突破,てきじんとっぱ,,イベント,ウォルナー,戦技,,,,1,,,,,,使用タイミング：通常 ■以下のどちらかを行う。 ◯相手の、セットカードかフィールドカード１枚を選び、破壊する。 ◯君のルーラーを、ターン終了時までATK＋３する。,,「借りを作りたい相手じゃないけど。」シオリは気乗りしない表情で言った。「この辺りには魔王メリルのダンジョンがあったはず。助けを求めましょう。」,4
2021GB02-028,★,フォーガイザ（魂は鍛造される）,フォーガイザ,,イベント,ウォルナー,戦技,,,,0,,,,,,使用タイミング：即時 ■以下のいずれかを行う。 ◯君の戦士か魔術師のユニット１体を選び、ターン終了時までATKかHPのどちらかを＋３する。 ◯君のルーラーを、ターン終了時までATK＋３する。 ◯君のルーラーに、ターン終了時まで【貫通】を与え、STK－２する。,,アドバイス！ 反撃などを受けずに、安全にユニットを攻撃できるのはルーラーだけだ。ルーラーを強化して攻撃すれば、高レベルの敵ユニットも怖くないぞ！,4
2021GB02-029,★★★★Ⓛ,ト・メガ・セイリオン,ト・メガ・セイリオン,,ユニット,ATLAS,ドラゴン,ビースト,,,3,7,5,3,,LEGEND,■これの攻撃中、相手はセットカードをプレイ出来ない。 【貫通】,,聖地奪還へと準備をすすめるキプロス基地に、黙示録の獣が襲来した。アトラスの最新兵器を玩具のようになぎ倒す怪物は、正に黙示録の獣であった。,1
2021GB02-030,★★★★,ヘルダイバー レッドクラッシャー,ヘルダイバー レッドクラッシャー,,ユニット,ATLAS,ドラゴン,ミリタリー,ワイルドフォース,,3,3,5,2,TD,,【TD】「アイアンレイン」 敵ユニット１体以上を選び、４ダメージを割り振る。  ■これを手札からプレイする際、君の墓地にあるワイルドフォースのカードを２枚デッキの下に置く事で、2コストでプレイしてもよい。,,幻獣たちで構成された、ワイルドフォース空挺部隊。 地獄への特攻部隊「ヘルダイバー」の異名を持つ。,4
2021GB02-031,★★★★,決戦世界のアリス,けっせんせかいのアリス,,ユニット,ATLAS,アリス,覚醒者,,,2,4,4,2,CNT,,■相手のターン中、A7のユニットを手札から、即時タイミングで通常召喚できる。（召喚権を使わず、コストは支払う。） ■相手のターン終了時、A7のユニットを任意の枚数選び、手札に戻してもよい。  ■これは守備ゾーンに置けない。,君の墓地からA7のユニット１枚を選び、手札に戻す。,「感じる……ここが彼らとの決着の舞台になる事を！」 決意を固めたアリスは、運命の仲間たちを招集した。 ,4
2021GB02-032,★★★★,砂漠の悪鬼 パズス,さばくのあっき パズス,,ユニット,ATLAS,OWL,ビースト,魔術師,,2,5,2,2,,,■「砂塵障壁」 即時：［1エナジー支払う］これが攻撃ゾーンにあるなら、これが次に受けるダメージを0にする。,,「彼らは復活したのではない。我々の世界と神話の世界が、いつの間にか融合していたのだ。」 超物理学者サイレン・プロフェシー ,4
2021GB02-033,★★★★,アトラス軍空軍少佐 ヴィルマ,アトラスぐんくうぐんしょうさ ヴィルマ,,ユニット,ATLAS,ミリタリー,,,,1,3,3,1,,,■「反攻作戦」 相手のターンのメインフェイズに、相手が【OD】か【TD】を使った時、これを手札から召喚権を使わず通常召喚してもよい。そうしたらその能力を打ち消す。（コストは支払う。）,,中東を侵略次元に奪われて数年。次元障壁を破壊出来るゲートルーラー能力者を集め、アトラス軍は聖地奪還作戦を立案。オペレーション・リチャードが実行される。 ,4
2021GB02-034,★★★,A7 ターミネイター・ジャバウォック ,アリスセブン ターミネイター・ジャバウォック,,ユニット,ATLAS,A7,ドラゴン,ビースト,,2,6,5,3,,,■君のターン終了時、君の他のA7かアリスがなければこれを破壊する。 ■これは守備ゾーンに置けない。,,彼は滅ぼされた竜の世界最強の、そして最後の戦士だった。 肉体を失った彼はアリスと仲間達たちの精神世界に住まい、 物理的な力を持ったゴーストとして顕現する。,4
2021GB02-035,★★★,トロバイリッツ ヴァレリー,トロバイリッツ ヴァレリー,,ユニット,ATLAS,覚醒者,ミリタリー,,,1,2,2,1,OD TD,,【TD】手札からレベル１以下のミリタリーを１体特殊召喚してもよい。 【OD】君のミリタリー１体を選ぶ。それにターン終了時まで、『■【ターン１】これは攻撃して敵ユニットを破壊した時、アクトする。』を与える。,,歌は魔法。彼女はそれを現実にした。,4
2021GB02-055,★★★,幼き日の誓い,おさなきひのちかい,,フィールド,ATLAS,魔法,,,,2,,,,CNT,,■「魔術師の誓い」 君がウィザードなら、君の召喚権は３になる。 ■「英雄の誓い」 君がバーサーカーなら、君のルーラーが守備ゾーンの敵ユニットを攻撃した時、それにターン終了時まで【貫通】を与え、STKー２する。 ■即時：［これを墓地に置く］次に君に与えられるダメージを１軽減する。,これをフィールドゾーンに置く。,ヨハン「僕は魔術を再生する。」 ジェイク「僕は弱い人の心を解ってあげられるヒーローになるんだ。」 それは幼い2人を支える誓いとなった。 そしてこの先、呪いとなるのだ。,4
2021GB02-037,★★★,秘密兵器,ひみつへいき,,イベント,ATLAS,テクノロジー,,,,2,,,,,,使用タイミング：通常 ■手札を１枚捨てて、一枚引く。その捨てたカードの【CNT】のを使う。,,「もう少し根回ししてからの公開と行きたかったのだがな。」 『アビスゲート』の制御機器を調整しつつ、ミダスは呟いた。 「わがビジネスパートナーの社交界入りは 予定していたものより華々しくなりそうだ。」,4
2021GB02-038,★★,重装型ヴィクター,じゅうそうがたヴィクター,,ユニット,ATLAS,ミリタリー,ロボ,,,3,4,5,2,,,■「ボルトガン」 これが攻撃した時、敵ユニット１体を選び、３ダメージを与える。 ■「電磁装甲」 これに効果ダメージが与えられる時、そのダメージを２軽減する。,,「戦う芸術品」と言われたヴィクターも、米軍仕様だとこうなる。,4
2021GB02-039,★★,一等兵 デアリングライノ,いっとうへい デアリングライノ,,ユニット,ATLAS,ビースト,ミリタリー,ワイルドフォース,,2,4,3,1,TD,,【TD】「弾薬補給」 君の墓地からレベル１以下の火力のイベントカード１枚を選び、手札に戻す。,,彼は弾薬補給係として戦場を駆け回り、申し分のない働きをする。弾薬の残数を覚えることが出来ないという致命的な欠点があるが。,4
2021GB02-040,★★,ダークロード・レヴァン,ダークロード・レヴァン,,ユニット,ATLAS,OWL,ミリタリー,闇,,1,4,4,1,,,■「不死の王」 これは墓地から特殊召喚されたターン、【警戒】を得る。 ■「静かなる棺」 これは墓地にある時、レベル０としても扱ってよい。 ,,「新たなルーラーのスタイルが確立されるだろう。」 彼の視線は時間を超越していた。 「手札があるのにコストが不要であるとか…… つまり第三弾の話だが。」,4
2021GB02-041,★★,未知なる力 ジェイク,みちなるちから ジェイク,,ユニット,ATLAS,戦士,魔術師,,,1,3,2,2,TD,,【TD】君のデッキの上から２枚をこれのソウルに入れる。 ■これは【ソウルガード】を得る事が出来ない。,,全ての可能性の源、ポジショナルエナジー。彼は桁外れのそれを秘めていた。だがその力の使い道を、人類の誰も知り得なかったが故に……。 ,4
2021GB02-042,★★,ゴー！ ワイルドフォース・ゴー！,ゴー！ ワイルドフォース・ゴー！,,イベント,ATLAS,ミリタリー,ワイルドフォース,,,2,,,,CNT,,使用タイミング：通常 ■君のデッキの上から４枚見てワイルドフォースのユニット１枚を選び、特殊召喚する。残りのカードをデッキの下に置く。そのユニットが【TD】を持つなら、それを使う。,手札からワイルドフォースを１体攻撃ゾーンに特殊召喚してもよい。（【TD】は発動しない。）,密林地帯での「置き換え」は人知れず進行していた。ワイルドフォースによる各個撃破がなければ、侵略次元の大軍団が人類圏を脅かしていただろう。,4
2021GB02-043,★★,アポカリプス,アポカリプス,,イベント,ATLAS,タクティクス,,,,1,,,,CNT,,使用タイミング：即時 ■このターン中、敵ユニットに与えるダメージを、全て２倍にする。,これをセットする。,恐るべき黙示録の獣に対し、一人として引く者はいなかった。なぜならば……兵士たちは皆、これが黙示録に描かれた聖戦であり、自らが神話の一部である事を自覚していたからだ。,4
2021GB02-044,★,ゴーダムキーパー・ガーソン,ゴーダムキーパー・ガーソン,,ユニット,ATLAS,覚醒者,ミリタリー,,,2,4,4,2,TD,,【TD】敵ユニット１体を選び、１ダメージを与える。,,ATLAS軍少佐ガーソン。背後に「異空間の格納庫」を持つ彼は「倉庫番」と呼ばれ、自らの指揮する部隊と常に共にある。,4
2021GB02-045,★,機甲兵 ウルカニウス,きこうへい ウルカニウス,,ユニット,ATLAS,ミリタリー,ロボ,,,2,3,3,2,TD,,【TD】「レールキャノン」 敵ユニット１体を選び、２ダメージを与える。,,ATLAS軍の兵器は、常にアップデートを繰り返している。,4
2021GB02-046,★,ミダスの秘書 ヘイズ,ミダスのひしょ ヘイズ,,ユニット,ATLAS,OWL,闇,,,1,2,5,1,,,■「情報改ざん」 君の墓地にある闇のユニットを【アビスシンフォニア】の素材にする時、それをそれぞれレベル０から３のいずれかとして扱ってよい。,,「抑圧された人々に対するミダス様の施しは偽善ではありません。彼が最も憤りを感じるのは、全ての人々にチャンスが平等に与えられていない事。そしてそのチャンスを生かせない愚鈍さなのです。」,4
2021GB02-047,★,三等軍曹 アイアン・ブル,サージェント アイアン・ブル,,ユニット,ATLAS,ビースト,ミリタリー,ワイルドフォース,,1,2,4,1,,,■「RPG」 通常：［１エナジー支払う］敵ユニット１体を選び、２ダメージを与える。,,また弾数の在庫が合わないのかデアリング。ストレスで司令官の太鼓腹に穴が開くぞ？,4
2021GB02-048,★,摩天楼の魔術師,まてんろうのまじゅつし,,ユニット,ATLAS,魔術師,,,,1,2,4,0,,,【深淵召喚】通常：これを墓地に置く。そうしたら君の墓地から【アビスシンフォニア】を持つユニットを１体、その条件を満たすことで特殊召喚してもよい。,,再現性、エビデンス、統計的に有意なデータに拘っていては魔術を修めることは出来ない。しかし、自らの都合の良いように事実を捻じ曲げるものは、魔術の理によって裁かれる。,4
2021GB02-049,★,A7 ハンプティ・ダンプティ,アリスセブン ハンプティ・ダンプティ,,ユニット,ATLAS,A7,ロボ,,,0,3,3,0,TD,,【TD】これを君のレベル２以下の覚醒者のユニットのソウルに入れてもよい。 ■「守護の揺籃」 これがソウルにあるユニットは【ソウルガード】を得る。,,A7のメンバーは、それぞれ侵略次元に滅ぼされた世界の最後の生き残りである。彼らはアリスの元に集い、ある物語を模して自らのコードネームを選んだ。,4
2021GB02-050,★,A7 マッドハッター,アリスセブン マッドハッター,,ユニット,ATLAS,A7,覚醒者,,,0,3,1,1,TD,,【TD】「ブリッツ・ピッキング」 味方ユニット１体を選び、それをターン終了時までHP＋３する。,,もちろん僕たちは協力するさ、アリス。僕たちは本当ならこのゲームにとっくに敗北してるんだ。君が立ち上がるから続けられる。,4
2021GB02-051,★,G＆G社製マジックドローン “ヘルカイト”,ジーアンドジーしゃせいマジックドローン “ヘルカイト”,,ユニット,ATLAS,ミリタリー,,,,0,2,1,1,CNT,,0,これを攻撃ゾーンに特殊召喚する。,G&G社の無人戦闘機械。実験的に動力源を魔術システム置き換え、非常識なまでの静動性を実現している。,4
2021GB02-052,★,デモリッション・サラマンダー,デモリッション・サラマンダー,,ユニット,ATLAS,ビースト,ミリタリー,ワイルドフォース,,0,2,2,1,,,■「デモリッション」 これが相手にダメージを与えた時、相手のセットカード１枚を選び、１エナジー支払ってもよい。そうしたらそれを破壊する。,,兵士はただ一つの物事のスペシャリストであるだけでは働けない。兵士として最低限のスペックを持たないと、作戦単位となれないからだ。,4
2021GB02-053,★,フェアリー,フェアリー,,ユニット,ATLAS,OWL,怪異,風,,0,1,5,0,,,■「夏の夜の夢」 これが破壊された時、攻撃しているユニットが【貫通】を持つなら、その【貫通】によるダメージを０にする。,,コティングリー村の写真が出回るまでは、私たちもほとんど人間と同じ大きさだったのよ？ これって風評被害よね。,4
2021GB02-054,★,キプロス基地防衛戦,キプロスきちぼうえいせん,,イベント,ATLAS,タクティクス,,,,1,,,,CNT,,使用タイミング：セットして、相手のアタックフェイズ開始時に使える。 ■このターン、君が受ける全てのダメージは１になる。（０は１にならない）,これを墓地に置く。,最新兵器の威力を物ともせず、ト・メガ・セイリオンの蹂躙は続いた。だがキプロス基地には、G&G社による完成間近の超兵器が存在したのだ。,4
2021GB02-055,★,バーストモード,バーストモード,,イベント,ATLAS,火力,ミリタリー,,,0,,,,CNT,,"使用タイミング：即時 ■敵ユニット１体を選び、君の墓地にある""バーストモード""の枚数＋１のダメージを与える。",これをプレイする。,ヴィクター・シリーズは多大な戦果をもたらし、様々な派生機も作られた。だがそろそろ、次の主力機体が求められている。,4
2021GB02-056,★★★★Ⓛ,天罰覿面,てんばつてきめん,,イベント,東妖,歴史,,,,2,,,,CNT,LEGEND,使用タイミング：セットして、君が敵ユニットに攻撃されている時に使える。 ■その戦闘ダメージを０にして、攻撃しているユニットを破壊する。,敵ユニット１体を選び、破壊する。,クトゥルー出現時に現場にいた人々は、瞬時にして「陽炎に似た、人間だったなにか」へと変化し、物理法則は歪められ、新宿駅周辺は魔界と化した。立ち向かったガシャドクロは善戦するも、恐怖に囚われた人々の想いに力を得られず崩れ落ちる。そしてそこへ……護国の機械神が現れた！,1
2021GB02-057,★★★★,10式超空兵 ”天雷”,"ひとまるしきちょうくうへい ""てんらい""",,ユニット,東妖,ミリタリー,ロボ,,,3,6,6,2,,,【警戒】 【反撃】,,飛行能力を持った人型兵器を天兵と呼ぶ。宇宙にまで活動範囲を広げた新機体には、超空兵の名称が与えられた。,4
2021GB02-058,★★★★,"竜型決戦兵器 ""鳴雷""","りゅうがたけっせんへいき ""ナルイカズチ""",,ユニット,東妖,ドラゴン,ミリタリー,,,3,4,5,2,,,■「電界障壁」 これが攻撃した時、レベル１以下の敵ユニット１体を選び、破壊する。 ■「降雷破【ターン１】」 即時：レベル０の敵ユニット１体を選び、それを破壊する。この能力は相手のターン中にのみ使える。,,イカズチ・プロジェクト。ホノイカズチの戦果により東妖軍は、神話を元にした八柱の雷神を、首都防衛の要とした。,4
2021GB02-059,★★★★,鵺,ぬえ,,ユニット,東妖,怪異,風,ビースト,,2,5,4,2,,,【強制待機】（これはセットゾーン以外から場に出せない。このユニットはイベントのようにセットして使用する。） ■君がダメージを受けた時、セットゾーンから召喚権を使わず通常召喚してもよい。（コストは支払う）  【反撃】,,赤黒き戦火の空に、鵺の鳴声が轟く。恐れよ、侵略次元。ここがお前たちの覇道の終着点だ、と。,4
2021GB02-060,★★★★,神器合神 ダイジンキ,じんぎがっしん ダイジンキ,,ユニット,東妖,神器,ミリタリー,ロボ,,0,7,6,2,,,【オープンカード】 ■「合体失敗」 このカードが場に出る際、これが「神器合体」効果で場に出るのでない場合、代わりにこれをデッキの下に置く。 ■これは相手の効果を受けない。  【２回攻撃】 【警戒】,,３つの発動機がシンクロし、護国の機械神が立ち上がる！,4
2021GB02-061,★★★,龍鬼大禍津日,りゅうきオウマガツヒ,,ユニット,東妖,怪異,ドラゴン,,,3,6,6,2,,,■「マガツアラシ」 これが攻撃した時、以下のどちらかを行う。 ◯セットカード１枚を選び、破壊する。 ◯相手のエナジー１枚を選び、レストする。,,「あんな化け物まで開放されたか……地獄の蓋が開いたらどうなる事か。」 剣呑な言葉と裏腹に、鬼ノ宮の口元には笑みが浮かんでいた。 ,4
2021GB02-062,★★★,刑天,けいてん,,ユニット,東妖,怪異,大地,闇,,2,5,3,2,OD,,【OD】「干戚の舞（かんせきのまい）」 これは、次の君のターン開始時まで「これは攻撃されない。」得る。 ■これは守備ゾーンに置けない。,,敗北しても立ち上がり、死してなお戦い続け、首をはねられ埋め消されようともなお忘れ去られず。,4
