収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト,
GB01-015,★★,モンスターウルヴァリン,,,ユニット,ウォルナー,大地,ビースト,,,0,1,1,1,,,,,侵略次元の影響により、邪悪な力と魂を宿した動物。それらを総じて魔獣と呼ぶ。,
GB01-016,★★,フライング・シールド,,,イベント,ウォルナー,魔法,,,,0,,,,,,,,「派手な歓迎ですなシオリ女史！」「ウォルナー流と言えなくもないけど、予定通り転移してれば、軍楽隊が歓迎する予定だったんだけどね。」「と言う事は、ここは帝国領じゃない……,!」
GB01-017,★,時喰らいの魔神,,,ユニット,ウォルナー,トレイター,,,,2,4,1,2,,,,,世界の寿命。ポジティブ・エナジー。侵略次元に狙われた世界は、それらを失って消失した。,
GB01-018,★,獄牙獣 ザルベリオス,,,ユニット,ウォルナー,トレイター,ビースト,闇,,2,5,3,3,,,,,どこの世界にも正直者はいる。自らの欲望に正直な者が。,
GB01-019,★,フレイム・ガイザー,,,イベント,ウォルナー,炎,魔法,,,2,,,,,,,,"侵略次元の侵攻前から、ウォルナーは危険な世界だった。しかし巨悪の存在は、幾つかの種族の同盟と、魔法の進化をもたらした。
",
GB01-020,★,ブラックナイト ディスター,,,ユニット,ウォルナー,戦士,トレイター,闇,,1,4,3,2,,,,,邪悪な魂に通じるものがあるのか。黒騎士の多くは悪しき竜と友誼を結ぶ。,
GB01-021,★,ブルタウロス,,,ユニット,ウォルナー,大地,ビースト,,,1,4,4,2,,,,,"「ミノタウロスなら地球の神話にもいるな。いや、最近は神話じゃなくて本当にいるかも知れんが……」
東妖軍ウォルナー派遣部隊隊長 山田",
GB01-022,★,ゴールデンドッグ,,,ユニット,ウォルナー,光,ビースト,,,1,4,2,2,,,,,人が戦い続ける限り、犬と言う種も進化を続ける。それが遥か昔に交わされた、種の盟約だからだ。,
GB01-023,★,光神シャルサーナの盾,,,イベント,ウォルナー,光,魔法,,,1,,,,,,,,ウォルナーでは神々が実在する。だが意見の違いから、人に対して庇護を与える者も、抹殺を望む者もいる。,
GB01-024,★,ディスペル,,,イベント,ウォルナー,魔法,,,,1,,,,,,,,東妖軍の近代兵器は「世界のルール」と呼ばれる現象により、ほぼ全て動かなくなった。だが、魔力に恵まれた隊員にとってはその限りではなかった。「要するに魔力って言うのは、世界に対して、『自分ルール』を押し付ける力なのよね。」,
GB01-025,★,コール・ライトニング,,,イベント,ウォルナー,魔法,,,,1,,,,,,,,"「山田さんが魔法をプレイできる。可能性はゼロね。」
鼻白む山田に、シオリは言葉を続けた。
「貴方の体内魔力はゼロ。つまり貴方は魔法が使えないし、逆にほとんどの魔法が効かない。ディスプレイサーと呼ばれる特異体質よ。」",
GB01-026,★,次元間戦争,,,フィールド,ウォルナー,魔法,,,,1,,,,,,,,各勢力が果てなき戦いを繰り返していたウォルナーは、皮肉にも侵略次元の侵略により、各種族が互いの長所を生かし合う協調的な世界へと進化した。,
GB01-027,★,聖剣の騎士,,,ユニット,ウォルナー,戦士,,,,0,3,3,1,,,,,ウォルナーの生命体は大なり小なり魔力を持ち、魔力による能力の底上げで、物理法則を超える戦闘力を持ちうる。,
GB01-028,★,導きの聖剣士,,,ユニット,ウォルナー,風,戦士,光,,0,3,2,1,,,,,地球の皆さん、四大魔竜の一柱が、貴方たちを狙っているらしいよ！,
GB01-029,★,ヒュドラファミリア,,,ユニット,ウォルナー,ビースト,,,,0,2,2,1,,,,,魔術師の霊的・魔力的なブースターとなるべく、魔術工房で品種改良を受けた生物がファミリアである。,
GB01-030,★,東妖軍ウォルナー派遣部隊,,,ユニット,ウォルナー,戦士,ミリタリー,,,0,1,5,1,,,,,"「若い頃から転生モノが好きでね。正直言って、こういう世界に銃を持ち込むのは無粋だと思う。だからまあ、持ってきた装備の大半が動かないのも『世界のルール』だと思えば納得はするよ。」
東妖軍ウォルナー派遣部隊隊長 山田",
GB01-031,★★★★Ⓛ,キャプテン・リバティー,,,ユニット,アトラス,覚醒者,ヒーロー,ミリタリー,,2,5,4,2,,,,,覚醒者。人類の防衛本能が生み出した能力者たち。,
GB01-032,★★★★,ハデスの影,,,ユニット,アトラス,OWL,闇,,,3,5,3,3,,,,,喜んで死者をお貸ししよう。冥府も人口過多なのでな。,
GB01-033,★★★★,Se★★gea★t Majo★★ of the A★★my バスターコング,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,3,5,3,2,,,,,準備はいいか？　奴らに弾丸をカートン単位でプレゼントするぞ！,
GB01-034,★★★★,捜査官 ベッキー,,,ユニット,アトラス,覚醒者,戦士,ミリタリー,,1,3,3,2,,,,,人類全員で協力しなきゃいけない時に、ナチの復活とか馬鹿なんじゃないの,!
GB01-035,★★★★,聖戦世界のアリス,,,ユニット,アトラス,覚醒者,,,,1,4,3,0,,,,,"アークと共に戦い続けてきた歴戦の戦士は、決着が近い事を感じ取った。「皆を呼ばないと。私の七人の仲間たちを。」
",
GB01-036,★★★,グイベル・オブ・ウェールズ,,,ユニット,アトラス,OWL,ドラゴン,,,3,6,4,2,,,,,"人々は目を見張り、憧憬の念に打たれた。
ああ、ドラゴンが、物語が帰ってきたのだ、と。",
GB01-037,★★★,主力機甲兵 ヴィクター,,,ユニット,アトラス,ミリタリー,,,,2,4,3,2,,,,,"エンジンはドイツ、制御プログラムはアメリカ……イタリアは当然、外装デザインを受け持った。
",
GB01-038,★★★,一等軍曹 ランパートエレファント,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,2,4,3,2,,,,,"沈着冷静なワイルドフォースの知恵袋。参謀本部への栄転を断り続けるのは、バスターコングの元で戦い続けるため。
",
GB01-039,★★★,Gu★s＆Gold兵器工廠,,,フィールド,アトラス,ビジネス,,,,1,,,,,,,,私も子供の頃は日本のロボットアニメに夢中になったよ。ところで、M★★.ポルヴィスに進呈する“ドレス”の開発は進んでいるかね？,
GB01-040,★★,バスターアーム！,,,イベント,アトラス,ミリタリー,ワイルドフォース,,,3,,,,,,,,お前の首で、トロフィーを作ってやる！,
GB01-041,★★,カーネル ビッグオウル,,,ユニット,アトラス,ワイルドフォース,,,,2,2,5,1,,,,,で、曹長。いやジ・アーミー。私の胃薬もカートン単位で持ってきたくれたんだろうな,!
GB01-042,★★,次元航行船アーク,,,イベント,アトラス,歴史,,,,1,,,,,,,,アーク。侵略次元に滅ぼされた世界の住民たちが集う、復讐者の方舟。彼らは侵略次元を追いもとめ、大西洋上空に出現。ATLAS軍との共闘を申し出た。,
GB01-043,★★,海兵隊 デアリングトルーパー,,,ユニット,アトラス,ミリタリー,,,,0,2,2,1,,,,,ATLASとは、ATLa★tic Allia★ce Se★ti★elsの略称であり、奇しくも、世界を支える役割を負った神話の巨人の名でもある。,
GB01-044,★★,特技兵 ブルズアイウルフ,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,0,2,1,1,,,,,なんで当たるかって？スコープ越しに見りゃ、どいつもこいつもでかいツラしてやがる。外す方が難しいぜ。,
GB01-045,★★,ディザスター！,,,イベント,アトラス,アクシデンツ,,,,0,,,,,,,,神様なんて無責任な気まぐれ野郎に、運命を預けるからこうなるのさ！,
GB01-046,★,ATLAS軍ノルマンディー大演習,,,イベント,アトラス,ミリタリー,ワイルドフォース,,,2,,,,,,,,地中海東部沿岸上陸作戦を想定した、ノルマンディーでの合同演習は成功に終わった。いよいよ聖地奪還作戦が、開始される……！,
GB01-047,★,G&G無人戦車 ターレット・タートル,,,ユニット,アトラス,ミリタリー,,,,1,4,4,2,,,,,侵略次元の干渉により、直径1000キロメートルに及ぶドーム状の結界が中東に出現。以来、そこは侵略次元の支配地域となり、内部を伺い知れない状況が続いている。,
GB01-048,★,セルカーク・ケットシー,,,ユニット,アトラス,OWL,怪異,ビースト,,1,3,1,1,,,,,魔法より、銃の方が手っ取り早い。,
GB01-049,★,ワーウルフ・ウォリアー,,,ユニット,アトラス,OWL,ビースト,闇,,1,4,3,2,,,,,侵略次元よ、感謝する。血の滾りを抑えるには、お前たちのような敵が必要だった。,
GB01-050,★,ヴァンパイアソルジャー レヴァン,,,ユニット,アトラス,OWL,ミリタリー,闇,,1,2,2,2,,,,,……見えるぞ。基地の防御を固めたまえ。「終末の獣」がやってくる。具体的には第二弾ブースターでな。,
GB01-051,★,伍長 チャンプタイガー,,,ユニット,アトラス,戦士,ミリタリー,ワイルドフォース,,1,5,2,2,,,,,ワイルドフォースいちの荒くれ者で、命令違反の常習者。一方、味方の命を救った者に送られる“アンカー栄誉賞”の受賞数記録保持者でもある。,
GB01-052,★,アイアンストーム,,,イベント,アトラス,火力,ミリタリー,,,1,,,,,,,,聖地奪還に向けて、新兵器のテストと新兵の訓練が繰り返された。そんな折、前線基地キプロスに巨大な影が迫っているとの情報が……,
GB01-053,★,魔導兵士 ジェイク,,,ユニット,アトラス,魔術師,ミリタリー,,,0,4,3,1,,,,,軍は早い段階で魔法の存在を認め、才能のある者を育て始めた。普通の少年だったジェイクにも、驚くべき才能が隠されていたが……,
GB01-054,★,バンシー,,,ユニット,アトラス,OWL,怪異,闇,,0,2,4,1,,,,,あの日、地球のたがが外れてしまったのかも知れない。伝説の者たちが堂々とその姿を表し始めたのだ。あるものは伝説に違わず人に仇なし、またあるものは人類との共闘を申し出た。,
GB01-055,★,ノルウェージャンフォレスト・ケットシー,,,ユニット,アトラス,OWL,怪異,ビースト,,0,2,1,1,,,,,普通の猫だと思われていた中にも、妖精族の“ケットシー”がいた。彼らは伝説に伝えられる通り、魔術に深い理解を示した。,
GB01-056,★,特技兵 スポッタージラフ,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,0,2,3,1,,,,,侵略次元に故郷を滅ぼされ、復讐を誓った彼らは、単なる動物でいる事をやめた。鋼の肉体と鉄の意志を持つ獣人兵士、ワイルドフォースとして生まれ変わったのだ！,
GB01-057,★,上等兵 タリホードッグ,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,0,2,2,1,,,,,ジ・アーミーバスターコング！　我らに可能な限りクソな戦場をご用意あれ！,
GB01-058,★,上等兵 リーコンディアー,,,ユニット,アトラス,ミリタリー,ワイルドフォース,,,0,3,1,1,,,,,地球。ここが新たな戦場か。やらせはせんぞ、我らの故郷のようには。,
GB01-059,★,デスパレート,,,イベント,アトラス,ミリタリー,,,,0,,,,,,,,"日本の次元断層による侵攻と違い、欧州における侵略次元の攻撃は、「置き換え」と言われる現象によって行われる。
ある日突然、街の一角から人々が消失し、置き換わるように侵略次元の部隊が現れるのだ。
消失した人々の行方は、杳として知れない。",
GB01-060,★,そんなダメージは気のせいだ！,,,イベント,アトラス,ミリタリー,ワイルドフォース,,,0,,,,,,,,"♪オー、ワイルドフォース、悪を砕く鋼の腕。
野生の力だガトリング、自然の掟だ気化爆弾。
知恵が１割力が５割。残った７割勇気と力。",
GB01-061,★,サプレッション・ファイア,,,イベント,アトラス,火力,ミリタリー,,,0,,,,,,,,アドバイス！ ATLAS軍カードの魅力は、なんと言っても効果ダメージによるユニット破壊だ。“Gu★s＆Gold兵器工廠”を４枚入れてマジカルユニバースの火力カードと組み合わせ、コントロールデッキを作ってみよう！,
GB01-062,★★★★Ⓛ,キャプテン・オーマイガー,,,ユニット,東妖軍,覚醒者,戦士,ヒーロー,,3,5,5,3,,,,,漫画家、桜舞河大将は自らの描く漫画の主人公へと変身した。しかし常軌を逸した設定と、致命的なデザインセンスにより前途は多難で……（長谷川裕一作品「スタジオ秘密基地劇場」より,
GB01-063,★★★★Ⓛ,鬼The島隊長 鬼ノ宮 鋼牙,,,ユニット,東妖軍,鬼The島,キーマン,戦士,,3,4,3,2,,,,,東妖軍きってのゲートルーラーであり、古の約定により鬼たちを従える「裏京都・鬼ノ宮（きのみや。「おにのつかさ」とも読む）」の当主。快刀乱麻を断つがごとき正義の快男児。,
GB01-064,★★★★,カミガカリ,,,ユニット,東妖軍,神,,,,2,5,2,2,,,,,神や妖怪が現れた時、日本人は驚くよりも、懐かしさを覚えた。,
GB01-065,★★★★,巨骸装甲 ガシャドクロ,,,ユニット,東妖軍,怪異,ミリタリー,,,3,7,2,2,,,,,侵略者を打ち砕く、巨大な躯が咆哮する。其は、英霊たちの化身なり！,
GB01-066,★★★★,竜型決戦兵器 “荒御鋒”,,,ユニット,東妖軍,ドラゴン,ミリタリー,,,3,5,5,2,,,,,全国民の祈りを受けて、起動せよ！マシンドラゴン・アラミサキ!!,
GB01-067,★★★★,千年桜,,,イベント,東妖軍,歴史,,,,2,,,,,,,,"日本は学んだ。精神論に頼る愚かしさを。
同時に忘れまい。志なき者が兵（つわもの）とならぬ事もまた、事実であると。",
GB01-068,★★★,サクラノセイ,,,ユニット,東妖軍,怪異,,,,1,5,1,1,,,,,春の度に咲く。春の度に散る。,
GB01-069,★★★,冬将軍 御影,,,ユニット,東妖軍,怪異,戦士,,,1,2,1,1,,,,,"東妖軍と妖怪は雇用契約ではなく、昔ながらの義理と人情で繋がっている。それゆえに、北の怪異の元締めにして雪女である、彼女のような者が必要なのだ。
設定 一（はじめ） 命名 ネメシス",
GB01-070,★★★,合体拡張兵装 益荒男 『金剛体』,,,ユニット,東妖軍,ミリタリー,ロボ,,,3,5,4,1,,,,,魔力と科学の完全な同調。それが益荒男の力となる。,
GB01-071,★★★,たたりじゃーー！！,,,イベント,東妖軍,アクシデンツ,,,,-5,,,,,,,,なんでデッキに入れちまったんだ,!
GB01-072,★★,牛鬼 羅喉,,,ユニット,東妖軍,怪異,ビースト,,,2,4,5,3,,,,,"ふと夜空を見上げると、そこには異形が。
ああそうか、夜は彼らに還したのだった。",
GB01-073,★★,牛鬼 天狼,,,ユニット,東妖軍,怪異,ビースト,,,2,3,3,1,,,,,"妖怪たちは言った。「夜を還せ。お前たちが失わせた、心休まる闇を還すのだ。」
都知事は答えた。「では、深夜からの計画停電で対応しましょう。」",
GB01-074,★★,陸戦拡張兵装 益荒男 弐號機,,,ユニット,東妖軍,ミリタリー,ロボ,,,2,3,3,1,,,,,魔力エンジンと超電導プラズマエンジンのマッチングに成功。次は妖力炉を含めた三機合体だ！,
GB01-075,★★,特殊国民法（妖怪法）,,,イベント,東妖軍,歴史,,,,2,,,,,,,,妖怪のいる風景。時折襲い来る侵略次元。そんな非日常すらも、いつしか新たな日常として受け入れていく。それこそが人々の強さなのかも知れない。,
GB01-076,★★,ミスター死語,,,ユニット,東妖軍,戦士,ヒーロー,,,1,3,3,1,,,,,ナウ（死語）なヤング（死語）にバカウケ（死語）！ ミスター死語だよ～ん。ナ～ンチャッテ（死語）!!,
GB01-077,★★,生者必滅,,,イベント,東妖軍,戦技,,,,1,,,,,,,,無常なり。どのみち果てる身で。,
GB01-078,★,竜型決戦兵器“火雷”,,,ユニット,東妖軍,ドラゴン,ミリタリー,,,3,5,4,2,,,,,ウォルナー製魔力エンジンの実用試験はこの機体で完成した。いよいよ次は……大和だ。,
GB01-079,★,女天狗 瑞風,,,ユニット,東妖軍,怪異,風,,,1,3,1,2,,,,,"「オブザーバーとして意見は求められましたが、本来は民俗学者の出る幕ではなかったでしょう。まさか『妖怪とは情報生命体ではないか』との仮説が認められるとは。」 民俗学者・作家 遠野幸慈（ゆきじ）
",
GB01-080,★,100軾戦車,,,ユニット,東妖軍,ミリタリー,,,,1,4,4,2,,,,,運用実積のある100軾は、ウォルナーの魔法技術を導入するテストベッドとして選ばれた。今後様々な実験機が作られるだろう。,
GB01-081,★,第一次次元防衛戦,,,イベント,東妖軍,歴史,,,,1,,,,,,,,デスティニー・ソードの落着と共に侵略次元が出現した。同時に現れた異世界の援軍と共に、人類は侵略次元の第一陣を撃退。それから数年……,
GB01-082,★,四方祓い,,,イベント,東妖軍,魔法,,,,1,,,,,,,,鬼垣家。鬼界を隔離し、裏京都を呪術的に代々守護してきた家系。鬼ノ宮家とは表裏１体の関係である。,
GB01-083,★,方違え,,,イベント,東妖軍,魔法,,,,1,,,,,,,,世界の境界線が壊されたあの日。古の呪いは無力なオカルトではなく、銃弾をも弾く物理的な力を得た。,
GB01-084,★,百目の召霊,,,ユニット,東妖軍,怪異,,,,0,2,1,1,,,,,"「俺たちも日本国民だ！軍に入って闘うぜ」と訴える妖怪たちに報いるべく、未門内閣は「特殊国民法」を設立させた。

",
GB01-085,★,ゆきんこ 牡丹,,,ユニット,東妖軍,怪異,,,,0,2,3,2,,,,,"各地方自治体の妖怪課は、いわゆる「妖怪不祥事案件」の対応に大忙し。気の毒に思った妖怪たちは自重した。具体的にはコンビニの冷凍庫に入って動画を撮ったりしなくなった。
",
GB01-086,★,黒河童の玄九郎,,,ユニット,東妖軍,怪異,闇,,,0,3,3,1,,,,,"魚食おうか、人とって食おか。
",
GB01-087,★,三毛猫・ケットシー,,,ユニット,東妖軍,怪異,ビースト,魔術師,,0,2,1,1,,,,,ケットシーは世界中にいる。貴方の飼い猫も実はそうなのかも知れない。,
GB01-088,★,陽炎童子,,,ユニット,東妖軍,鬼The島,怪異,,,0,4,2,1,,,,,地獄の釜が開けばよ、俺たち「鬼The島」の本番だぜ。,
GB01-089,★,機械化歩兵大隊“白夜”,,,ユニット,東妖軍,ミリタリー,,,,0,2,1,1,,,,,"アジアを中心とした、侵略次元に対する軍事同盟。
東洋「妖怪」「魔物」「人類」連合軍、略して「東妖魔人連合軍」である。",
GB01-090,★,補給部隊“破間”,,,ユニット,東妖軍,戦士,ミリタリー,ロボ,,0,2,2,1,,,,,輸送部隊の隊員の多くは、民間の運送業者でもある。彼らは、常時は人々の生活を守るため、戦時は人々の命を守るために、走る。,
GB01-091,★,剛力招来,,,イベント,東妖軍,戦技,魔法,,,0,,,,,,,,強き力よ、我に宿りたまえ。人を超えし力よ、我が身を依代として顕現せよ。,
GB01-092,★,大祓,,,イベント,東妖軍,魔法,,,,0,,,,,,,,「思うに、魔術も陰陽も、信じる事で発現するのでしょう。術として正しいからではない。きっと世界の物理法則が……人の想いに応えるよう変化したのです。コウガさんのゲートルーラー能力然り、ね。」,
GB01-093,★★★★Ⓛ,侵略大帝,,,ユニット,マジカルユニバース,エブリデイクライム,ヒーロー,,,3,2,1,1,,,,,宇宙の大帝を自称する謎の怪人を、エブリデイクライムは食客として受け入れた。頭部デザインにシンパシーを感じて。,
GB01-094,★★★★,スペース円卓の騎士 宇宙アーサー,,,ユニット,マジカルユニバース,宇宙遺産,ヒーロー,ロボ,,3,6,4,0,,,,,宇宙の民がピンチに陥った時、どこからともなく現れて人々を救う。彼は人なのか神なのか、はたまたUMA的なサムシングなのか。,
GB01-095,★★★★,イドのタイガー,,,ユニット,マジカルユニバース,ビースト,,,,3,7,5,2,,,,,お前の恐怖に、宇宙が応える。虎を呼ぶのはお前なのだ。,
GB01-096,★★★★,大首領 宇宙魔神ダイアクトー,,,ユニット,マジカルユニバース,エブリデイクライム,,,,3,3,5,2,,,,,未来に悩む若者よ。まずは形から入りたまえ。,
GB01-097,★★★★,ZAPZAPZAP！,,,イベント,マジカルユニバース,火力,魔法,,,3,,,,,,,,宇宙冒険家、押し掛け記者、迷子の地球人、そして犯罪組織の勧誘員。滅茶苦茶なメンバーの中にも、いつしか仲間意識が芽生えていた。,
GB01-098,★★★,シュレディンガーの猫,,,イベント,マジカルユニバース,アクシデンツ,,,,3,,,,,,,,観察者が存在しない時、あらゆるものの真の実在は、証明出来ない。,
GB01-099,★★★,ホラー軍団団長 ガチホラー,,,ユニット,マジカルユニバース,エブリデイクライム,,,,2,4,5,1,,,,,彼はテレパシーで他者の思考が読めるので、情に厚く公平な人事部長として誰からも信頼されている。,
GB01-100,★★★,宇宙ジャーナリスト クリステル,,,ユニット,マジカルユニバース,フューチャーメン,,,,1,2,2,1,,,,,謎のヒーロー宇宙アーサーの目撃例が、ヴェルオクト号に集中していると気づいた彼女は、なかば押し掛ける形で船に乗り込んで来た。,
GB01-101,★★★,太陽系バックパッカー,,,ユニット,マジカルユニバース,フューチャーメン,,,,1,4,4,1,,,,,マジカルユニバースの「距離」はイメージで決定するの。火星に２日で着くなら水星で３日、１週間で太陽系が１周出来るわ。,
GB01-102,★★,突発性ブラックホール,,,イベント,マジカルユニバース,アクシデンツ,,,,3,,,,,,,,"「人生で何度もブラックホールに吸われる奴って、いるかなぁ。」
「もう慣れましたね。」",
GB01-103,★★,宇宙船ヴェルオクト号,,,ユニット,マジカルユニバース,宇宙遺産,フューチャーメン,,,2,4,5,3,,,,,“聖杯”を探し当てたと言う宇宙冒険家エドが設計し、建造した宇宙最速の戦闘艇。動力は不明。その機体に、聖杯の秘密を隠していると言う。,
GB01-104,★★,ホラー軍団 エックス街の物体エルム,,,ユニット,マジカルユニバース,エブリデイクライム,,,,2,3,5,2,,,,,エブリデイクライムは法を破り、全てを暴力で解決する。麻薬組織に牛耳られた惑星に、依存性の低い麻薬を広め麻薬組織を壊滅させたり、独裁者の惑星を侵略して民衆を解放、市場を開拓したり……まさにやりたい放題である。,
GB01-105,★★,宇宙犯罪組織エブリデイクライム,,,イベント,マジカルユニバース,エブリデイクライム,,,,2,,,,,,,,"若者よ。野望を持て。とりあえず地球儀を掴んでみろ。
",
GB01-106,★★,宇宙スフィンクス,,,ユニット,マジカルユニバース,怪異,ビースト,ピポバース,,1,3,4,1,,,,,強靭な前足で相手を捕らえ、身動きを取れなくさせたら、お待ちかねのクイズショウ。100問正解まで脱出不能。,
GB01-107,★★,マジック・ブラスター,,,イベント,マジカルユニバース,火力,魔法,,,1,,,,,,,,エド「地球人のポジティブ・エナジーは桁外れだ。君ならこの伝説の銃を使いこなせるだろう。」,
GB01-108,★,フォトン・トーピード,,,イベント,マジカルユニバース,ミリタリー,,,,2,,,,,,,,法は確かに、惑星の上では機能している。だが広大すぎる宇宙では、自分の身は自分で守るしかないんだ。,
GB01-109,★,ダブルエックスカリバー！,,,イベント,マジカルユニバース,ピポバース,,,,2,,,,,,,,"クリステル「エックスカリバー！宇宙でたった１つの神秘の鉱石、カリバーナイトで出来た伝説の剣よ！」
アドリアーノ「いや、２本あるじゃん?!」",
GB01-110,★,ホラー軍団 サメリアン,,,ユニット,マジカルユニバース,エブリデイクライム,サメ,ビースト,,1,3,2,2,,,,,ホラー軍団は味方にも恐れられる恐怖の軍団だ。だがその構成員は皆優れた人格者である。こんななりして。,
GB01-111,★,マジック・イノベイター,,,ユニット,マジカルユニバース,フューチャーメン,魔術師,,,1,3,2,2,,,,,マジカルユニバースの魔法は「概念魔法」。思い込めば真実になる。,
GB01-112,★,万能ロボ ポジム,,,ユニット,マジカルユニバース,フューチャーメン,ロボ,,,1,2,5,2,,,,,"リクルーター「なんと！P-ZM型じゃないですか！ 言語中枢に欠陥のあったロボニカ社唯一の失敗作！　回収されずに実働しているなんて信じられない！」
ポジム「この緑色野郎、エアロックから叩き出すでございますよ」
",
GB01-113,★,ホラー軍団 ハンニバル・レイザー,,,ユニット,マジカルユニバース,エブリデイクライム,怪異,,,1,3,3,1,,,,,彼は自分のように、他人にも笑顔を浮かばせたいと願っている。彼の笑顔が恐いのは彼のせいではない。,
GB01-114,★,マスターフューチャー エド,,,ユニット,マジカルユニバース,フューチャーメン,,,,0,1,1,1,,,,,宇宙工学の権威であり、銀河に散らばる宇宙遺産の謎を追う冒険考古学者。同じく宇宙遺産を求める犯罪組織、エブリデイクライムとは宿敵同志である。,
GB01-115,★,宇宙リザードマン,,,ユニット,マジカルユニバース,戦士,ビースト,ピポバース,,0,3,2,1,,,,,"「お前、エブリデイクライムの構成員か?!」
笑顔を浮かべ話しかけてきた宇宙リザードマンにリクルーターは駆け寄った。彼はリザードマンの笑顔が怒りを表す事を知らなかったのだ。",
GB01-116,★,海王星雪女,,,ユニット,マジカルユニバース,怪異,ピポバース,,,0,4,3,1,,,,,"アドリアーノ「手が冷たい女性は心が温かいのさ。」
雪女「まあ。地球の方はお上手ね。」
リクルーター「こりゃいけません。アドリアーノさんが凍りついてる。」
ポジム「動力炉に突っ込めば治りやがるでしょ。」",
GB01-117,★,ギャラクシー 一反木綿,,,ユニット,マジカルユニバース,怪異,布,ピポバース,,0,2,4,1,,,,,"アドリアーノ「ジャパンの妖怪の一反木綿みたいだな。」
エド「それはいい。彼には名前がなかったんだ。そう呼ぼう。」
クリステル「本人も気に入ったみたいね。」",
GB01-118,★,エブリデイクライム戦闘員 バッドマンズ,,,ユニット,マジカルユニバース,エブリデイクライム,ピポバース,,,0,3,2,1,,,,,週休二日。労働時間は一日六時間。保養サービス充実。どこよりも正確な人事評価有り。ブラックな組織だが構成員にとってはホワイトだ。,
