収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト
2021GB04-031,★★★★,闇に惹かれし天才 ヨハン,やみにひかれしてんさい,,ユニット,ATLAS,サイエンス,魔術師,闇,,1,0,2,0,,,【深淵召喚】通常：これを墓地に置く。そうしたら、君の墓地の【アビスシンフォニア】を持つユニット１体を、その条件を満たす事で特殊召喚してもよい。 ■これは効果ダメージを受けない。,,被検体が必要だ……ポジディブ・エナジーを搾り取れるだけ搾り取れる、相手が。
2021GB04-032,★★★★,ヴォイドストーム,,,イベント,ATLAS,サイキック,パラノーマル,,,1,,,,,,使用タイミング：通常 ■以下のどちらかを行う。 ◯［DR２］相手の手札を見て、その中の１枚を指定し、捨てさせる。 ◯［DR５］場の相手のカード１枚を選び、墓地に置く。,,すべての量子は、必要もなく集合し、物質を形つくっている。 ヴォイド・ストームを体感したヨハンは、存在とは空間内の情報に過ぎないことを理解した。
2021GB04-033,★★★,バダス・バスターコング,,,ユニット,ATLAS,気合,ミリタリー,ワイルドフォース,,3,5,3,2,,,【反撃】 ■「全ては気のせいだ」 即時：［DR２］これが次に受けるダメージは１になる。 ■「コスト意識ゼロ【ターン１】」 即時：［味方ユニット１体を破壊し、手札１枚を捨てる］これをアクトする。,,地獄へ落ちろ！いずれ追いかけて、またバラしてやる。
2021GB04-034,★★★,クロノスの末裔 レヴァン,まつえい,,ユニット,ATLAS,OWL,闇,,,2,4,4,1,CNT TD OD,,【TD】【OD】「超遠未来視」 君のデッキの上から３枚を見て、任意の枚数を任意の順でデッキの上に戻す。残りを任意の順でデッキの下に置く。,これの『超遠未来視』を使う。,ネクスト・ゲートルーラー。第５弾では新種族が各軍に登場し、新たな秩序を生み出すようだ。我々OWLも負けてはいられぬな。
2021GB04-035,★★★,ディメンション・ラミネート,,,イベント,ATLAS,気合,サイキック,,,1,,,,,,使用タイミング：即時 ■このイベントは手札からもプレイできる。 ■以下のどちらかを行う。 ◯このターン、味方ユニットは効果ダメージを受けない。 ◯このターン、君が受ける戦闘ダメージは１になる。（０は１にならない）,,ゲートルーラーが余剰次元より取り出した「ディメンション・ラミネート」は、物理ではなく運命への干渉力によってしか相殺できず、あなた達のライフはディメンション・ラミネートの枚数を表している。
2021GB04-036,★★★,乾杯,,,イベント,ATLAS,気合,水,,,1,,,,,,使用タイミング：通常 ■属性を１つ宣言し、以下のどちらかを行う。 ◯君の墓地のユニットカードが５枚以上で、その全てに宣言した属性があれば、２枚引く。 ◯君のダメージゾーンに宣言した属性のカードが２枚以上あれば、君のダメージゾーンのカードを４枚まで表向きにする。,,戦士にも休息は必要だ。
2021GB04-037,★★,黒鱗のバラウル,こくりん,,ユニット,ATLAS,OWL,ドラゴン,,,3,6,6,4,,,,,現代兵器を上回る竜の力を見て、人々は思った。彼らを倒した伝説の英雄とは、本当に人間であったのだろうかと。
2021GB04-038,★★,月下の人狼,,,ユニット,ATLAS,OWL,ビースト,闇,,2,3,2,2,,,■これが手札から場に出る際、手札に戻してもよい。そうしたら、手札からカード１枚を裏向きで攻撃ゾーンに置く。その後、相手は、「人狼見つけた」と宣言してもよい。宣言された場合、この効果で置いたカードを表向きにする。表向きにしたカードが《月下の人狼》だった場合、またはユニットカード以外だった場合、そのカードを破壊する。宣言されなかった場合、裏向きのまま、所属軍と属性を持たないユニット（レベル２、ATK５、HP４、STK２）として扱う。,,
2021GB04-039,★★,A7 ホワイトラビット,,,ユニット,ATLAS,A7,レギンレイヴ,,,1,5,2,2,,,■「タイムストップ」 即時：相手のアタックフェイズ中、君のライフが３以下なら、［DR７/A7・アリス］してもよい。そうしたら、ターンを終了させる。,,
2021GB04-040,★★,ソードオブ・ホーリーエンド,,,イベント,ATLAS,気合,サイキック,,,1,,,,,,使用タイミング：セットして、相手のターン終了時に使える。 ■［場の君の〈アリス・A7〉を１枚手札に戻す］君の墓地にある〈A7〉の種類数と同じ数のダメージ（上限は５）を相手に与える。相手は任意の回数［DR１］する事で、その回数分このダメージを１軽減してもよい。,,敗北の未来など無い。仲間たちさえいれば。
2021GB04-041,★★,ヒーロー参上,,,イベント,ATLAS,風,ヒーロー,,,1,,,,CNT,,使用タイミング：即時 ■このイベントは手札からもプレイできる。 ■［DR２/ヒーロー］デッキからレジェンドではないレベル２以下の〈ヒーロー〉１体を特殊召喚する。,これをプレイしてもよい。,君よ、戦い続けろ。君へと向かう救いの手が、間に合うように。
2021GB04-042,★,ライトニング・クール,,,ユニット,ATLAS,覚醒者,ヒーロー,,,2,5,3,2,TD,,【コスト軽減】場に君の《ライトニング・リーダー》があれば、０コストでプレイしてもよい。 【TD】「弾丸のように走れ」 これはターン終了時まで【貫通】を得る。,,勝負が懸かった場面で、僕はボールを手にしていたい。
2021GB04-043,★,ライトニング・リーダー,,,ユニット,ATLAS,覚醒者,ヒーロー,,,2,5,3,1,TD,,【TD】「プレイコール」 １枚引く。 ■「オーディブル・ビジブル」 敵ユニットのATKとHPは、元々の数値になる。 ■「ノーハドル」 これは守備ゾーンに置けない。,,戦う者達、その全員に価値がある。
2021GB04-044,★,死影四騎士 “超越者” ラザルス,ちょうえつしゃ,,ユニット,ATLAS,覚醒者,死影,ゾンビ,,1,3,3,2,CNT,,■「命を弄ぶ者【ターン１】」 通常：［DR３］君の墓地のレジェンドではない〈死影・ゾンビ〉１体を手札に戻す。 ■「祝福されぬ生命」 通常：［DR４］君の墓地のレベル１以下の〈死影・ゾンビ〉１体を特殊召喚する。,君の墓地のレベル０以下の〈死影・ゾンビ〉１体を選び、特殊召喚する。そうしなければ、１ダメージを受ける。,あるじ様、元気で邪悪な御子を生んで下さいね。妹みたいに可愛がるから。
2021GB04-045,★,スライム・バディ・ゾンビ,,,ユニット,ATLAS,死影,ゾンビ,,,1,3,2,2,,,【装着】「ハッピーゾンビライフ」 【装着条件】なし ■「スーパースプレッダー」 これが攻撃した戦闘終了時、これを墓地に置いてもよい。そうしたら、デッキの上から１枚を見て、それが〈ゾンビ〉なら特殊召喚する。残りをデッキの下に置く。,,君と友だちになりたいんだ。
2021GB04-046,★,ティンカーベル,,,ユニット,ATLAS,OWL,怪異,,,0,0,5,0,,,■「こっちだよ!」 通常：［DR２、これを手札から捨てる］君のデッキの上から３枚を見て、〈A7〉１枚を手札に加える。残りを任意の順でデッキの下に置く。 ■「信じれば飛べる」 通常：相手とジャンケンで決着をつける。君が勝った場合、このターン、君のルーラーは相手ルーラーを直接攻撃できる。君が負けた場合、これをデッキの下に置く。,,あなたの才能が、あなたらしさなのよ！
2021GB04-047,★,メインクーン・ケットシー,,,ユニット,ATLAS,OWL,怪異,ビースト,,0,4,5,0,,,,,本人はファミリアだと言い張っているが、実際の仕事はボディガードである。
2021GB04-048,★,アトラス軍拠点防衛部隊 “スネィル”,,,ユニット,ATLAS,ミリタリー,,,,0,2,5,1,,,,,彼らは常に、ちょうと欲しかった所に駆けつけてくれる。
2021GB04-049,★,KAKA死,,,ユニット,ATLAS,死影,ゾンビ,,,0,1,2,1,,,■「死を賛美せよ」 即時：［DR１/死影・ゾンビ、これを手札から捨てる］君が次に受けるダメージを２軽減する。 ■「生命を嗤え」 通常：［DR２/死影・ゾンビ］墓地のこれを特殊召喚する。,,死んだ筈の者が嗤い、生きている筈のものが生きたまま朽ち果てる。 我らは死影。生と死の境界線を踏みしだく、我らが王のお出ましだ。
2021GB04-050,★,ゲートルーラー護衛部隊 “ウィガール”,,,ユニット,ATLAS,ヒーロー,ミリタリー,,,0,2,1,1,TD  OD,,【TD】【OD】君のダメージゾーンのカードを２枚まで選び、表向きにする。  ■「エナジーリバース【ターン１】」 通常：［DR２］エナジー１枚を選び、アクトする。,,数少ないゲートルーラー能力者を守る専用装備は、ATLAS軍の技術の粋を集めて開発された。
2021GB04-051,★,マヴェット・ゲルート,,,ユニット,ATLAS,OWL,死影,トレイター,,0,1,1,2,,,■「異界への漏出」 これが相手にダメージを与えた時、君のダメージゾーンのカードを２枚まで選び、表向きにする。,,あのお方がこの世界に視線を向けた。その時点で世界は終焉を迎えたのだ。我ら死徒は、あの御方の意向を最後の務めとするであろう。
2021GB04-052,★,我欲の盾,がよくのたて,,イベント,ATLAS,サイキック,,,,0,,,,CNT,,使用タイミング：セットして、君にダメージが与えられる時に使える。 ■君が次に受けるダメージを２軽減する。,これをセットする。,暗殺者を恐れるようでは、歴史を作る事はできんよ。
2021GB04-053,★★★★Ⓛ,カミヨガタリ,,,イベント,東妖軍,まじない,歴史,,,3,,,,CNT,レジェンド,使用タイミング：通常 ■以下のどちらかを行う。 ◯君の手札からカードを２枚までコストを支払わずプレイし、１枚引く。（召喚権は使う） ◯２ドライブする。,ライフを２回復し、これを除外する。,
2021GB04-054,★★★★,ガシャドクロ改 “地獄破り”,じごくやぶり,,ユニット,東妖軍,怪異,気合,ロボ,,4,7,3,2,TD OD,,【コスト軽減】［DR４］するか、［手札１枚をデッキの下に置く］事で、２コストでプレイしてもよい。 【TD】【OD】君のデッキの上から２枚をこれのソウルに入れる。 　【ソウルガード】 ■「大刀一閃」 これが中央ラインを攻撃した時、守備ゾーンのユニット１体を選んでもよい。そのユニットは能力を全て失い、破壊される。,,侵略者よ　花の盛りと　みゆるぞや　風だに吹かば　我ものにせん。
2021GB04-055,★★★★,鬼垣コウメイ,,,ユニット,東妖軍,鬼the島,キーマン,魔術師,,2,1,6,1,,,■「鬼神招来【ターン１】」 通常：君の墓地の〈まじない・魔法〉を任意の枚数除外し、デッキから除外したカードの数ー２以下のレベルを持つ〈神・魔王〉１体を特殊召喚する。 ■「呪い返し【ターン１】」 相手が【CNT】を使った時、［DR３］してもよい。そうしたら、その【CNT】は『君に１ダメージを与える。』になる。（【CNT】を使用したプレイヤーがダメージを受ける）,,鬼と縁を持つ鬼ノ宮家を、呪術的に守護してきたのが我が鬼垣。ま、幼馴染でもありますしコウガさん。貴方の背中は守りますよ。
2021GB04-056,★★★★,黒百合,くろゆり,,ユニット,東妖軍,戦士,フューチャーメン,レギンレイヴ,,3,5,6,2,,,■これが場に出た時、守備ゾーンの敵ユニット１体を選び、破壊する。 ■「シグルーン【ターン１】」 通常：［これをデッキの下に置く］デッキから合計レベルが２以下になるように〈レギンレイヴ〉を２体まで特殊召喚する。,,心せよ。いつか黒百合が咲き誇り、貴様らの悪行を裁くのだ。
2021GB04-057,★★★★,竜型決戦兵器 “若雷”,ワカイカズチ,,ユニット,東妖軍,ドラゴン,ミリタリー,ロボ,,2,4,4,1,,,【直衛召喚】（これは相手のターン中、即時タイミングで手札から召喚できる） ■「残影機動【ターン１】」 即時：レベル０以下の敵ユニット１体を選び、レストする。この能力は相手のターン中にのみ使用できる。 ■「灼熱手刀」 これが攻撃した時、レベル０以下の敵ユニット１体を選び、破壊する。,,体高２M半。唯一の超小型竜型決戦兵器にして、我ら歩兵の戦友。
2021GB04-058,★★★★,出火ノ阿国,いずかのおくに,,ユニット,東妖軍,怪異,まじない,魔術師,,2,1,6,1,TD OD,,【TD】【OD】 「祓い給え」 君の墓地・ダメージゾーンのカード１枚を選び、デッキの下に置く。そうしたら、デッキの上から１枚をダメージゾーンに置く。 【創生召喚】素材：これと〈怪異・魔術師〉１体以上 素材の合計レベルと同じレベルを持つ〈怪異・魔術師〉１体をデッキから特殊召喚してもよい。,,遠つ御祖の神、笑ほほえみ給え。
2021GB04-059,★★★,倶利伽羅龍王,くりからりゅうおう,,ユニット,東妖軍,神,ドラゴン,炎,,3,5,5,2,,,■「仏罰大魔炎」 これが攻撃した時、または攻撃された時、相手に１ダメージを与える。  ■「智恵の利剣」 通常：［DR３］ これはターン終了時まで【警戒】を得る。,,うぬらは天地の理に背くならば、仏罰自ずと重いと知れぃ！
2021GB04-060,★★★,転身鬼人 ヨウマオウ,,,ユニット,東妖軍,怪異,気合,ヒーロー,,2,4,4,3,,,【装着】「妖魔転身!!」 【装着条件】なし 【装着能力】「妖魔念力」 これが相手に与えたダメージでは、【CNT】は全て『これを墓地に置く。』になる。 ■これがドライブゾーンから【装着】された時、１ドライブしてもよい。,,魔の首魁、山ン本五郎左衛門の「度胸試し」に打ち勝ったゲートルーラーは、褒美として「妖魔転身玉」を受け取り、鬼人への転身術を得た。
2021GB04-061,★★★,蛸地蔵,たこじぞう,,ユニット,東妖軍,怪異,怪獣,たこ,ヒーロー,0,2,2,1,,,■「地蔵天力【ターン１】」 これが攻撃した時、［DR２］してもよい。そうしたら、このユニット以外のSTK２以下の味方の〈怪異・怪獣・ヒーロー〉１体をアクトする。,,わしを知らんて？ わしの名前でググるんやし。ウェルズも多分、わしの伝説を元ネタにしたんちゃうか？
2021GB04-062,★★★,封魔 反閇,ふうま へんばい,,イベント,東妖軍,まじない,,,,1,,,,CNT,,使用タイミング：通常 ■以下のどちらかを行う。 ◯君のダメージゾーンのカードを４枚まで選び、表向きにする。 ◯相手のダメージゾーンのカードを３枚まで選び、裏向きにする。,これをプレイする。,反閇。伝統的な歩法呪術。邪気を踏み祓う清めとなり、また、異界の門を開き人ならざる者を招く召喚術ともなる。
2021GB04-063,★★,芝桜,しばざくら,,ユニット,東妖軍,戦士,フューチャーメン,レギンレイヴ,,2,6,3,2,CNT,,■味方の〈レギンレイヴ〉は相手の効果ダメージを受けない。,君の墓地の【CNT】を持たない〈レギンレイヴ〉を２枚まで選び、デッキの下に置く。,お前の見えぬ処に、足元に、気付けば血の芝桜が広がるだろう。
2021GB04-064,★★,遊蝶花,ゆうちょうか,,ユニット,東妖軍,ニンジャ,フューチャーメン,レギンレイヴ,,0,5,1,1,TD OD,,【TD】【OD】これの『レギンレイヴの誓い』を使う。 ■「レギンレイヴの誓い」 これが『シグルーン』で場に出た時、君の墓地の【CNT】を持たないユニットカード１枚を選び、デッキの下に置いてもよい。,,レギンレイヴの試練を乗り越えた東妖軍の女性兵士達は、花の名を冠する美しき戦士となった。
